# Derived from Beyond-All-Reason units/**/*.lua at commit 54199a0d3f9a3aadd18cc731a44f6bba6e0f92aa 2026-09-19 by crates/buildorder/tools/extract_units.py.
# Raw definition values before gamedata/alldefs_post.lua (default mod options leave these fields unchanged).
# role: com, eco building, factory, builder (mobile), nano, turret, army. Empty cell = field absent in the file.
name,role,factory,metalcost,energycost,buildtime,workertime,builddistance,speed,metalmake,energymake,energyupkeep,extractsmetal,windgenerator,metalstorage,energystorage,health,energyconv_capacity,energyconv_efficiency
armcom,com,,2700,26000,75000,300,145,37.5,2,30,,,,500,500,3700,,
armmex,eco,,50,500,1800,,,,,,3,0.001,,50,,270,,
armwin,eco,,40,175,1600,,,,,,,,25,,0.5,196,,
armsolar,eco,,155,0,2600,,,,,,-20,,,,50,340,,
armadvsol,eco,,350,5000,7950,,,,,80,,,,,100,1130,,
armmakr,eco,,1,1150,2600,,,,,,,,,,,167,70,0.01429
armestor,eco,,170,1700,4110,,,,,,,,,,6000,1890,,
armmstor,eco,,330,570,2920,,,,,,,,,3000,,2100,,
armlab,factory,,500,950,5000,150,,,,,,,,100,100,2900,,
armvp,factory,,590,1550,5700,150,,,,,,,,100,100,3000,,
armnanotc,nano,,230,3200,5300,200,400,,,,,,,,,560,,
armllt,turret,,85,680,2400,,,,,,,,,,,620,,
armrad,turret,,60,630,1140,,,,,,,,,,,180,,
armck,builder,lab,110,1600,3450,80,130,36,,7,,,,,50,760,,
armpw,army,lab,54,900,1650,,,87,,,,,,,,370,,
armrectr,builder,lab,130,1400,2800,200,96,78,,,,,,,,220,,
armrock,army,lab,120,1000,2010,,,50.7,,,,,,,,720,,
armham,army,lab,130,1300,2200,,,46.2,,,,,,,,1000,,
armjeth,army,lab,125,1100,1830,,,56.25,,,,,,,,630,,
armwar,army,lab,270,3100,4200,,,45,,,,,,,,1590,,
armflea,army,lab,21,300,800,,,132,,,,,,,,60,,
armcv,builder,vp,135,1950,4050,90,130,54,,10,,,,,50,1380,,
armbeaver,builder,vp,150,3100,6700,80,112,42,,8,,,,,50,1030,,
armmlv,builder,vp,57,1100,3520,40,96,75,,,,,,,,335,,
armfav,army,vp,31,370,1100,,,168,,,,,,,,105,,
armflash,army,vp,110,900,2000,,,101,,,,,,,,730,,
armpincer,army,vp,200,2000,2610,,,63,,,,,,,,1340,,
armstump,army,vp,225,2100,3400,,,75,,,,,,,,1800,,
armart,army,vp,135,2200,3000,,,54,,,,,,,,620,,
armjanus,army,vp,240,2600,3550,,,54,,,,,,,,1030,,
armsam,army,vp,150,2100,3420,,,55,,,,,,,,820,,
corcom,com,,2700,26000,75000,300,145,37.5,2,30,,,,500,500,3700,,
cormex,eco,,50,500,1870,,,,,,3,0.001,,50,,275,,
corwin,eco,,43,175,1680,,,,,,,,25,,0.5,220,,
corsolar,eco,,150,0,2800,,,,,,-20,,,,50,355,,
coradvsol,eco,,370,4000,8150,,,,,80,,,,,100,1200,,
cormakr,eco,,1,1250,2680,,,,,,,,,,,167,70,0.01429
corestor,eco,,175,1800,4260,,,,,,,,,,6000,2000,,
cormstor,eco,,340,590,2920,,,,,,,,,3000,,2100,,
corlab,factory,,470,1050,5000,150,,,,,,,,100,100,2900,,
corvp,factory,,570,1550,5650,150,,,,,,,,100,100,3000,,
cornanotc,nano,,230,3200,5300,200,400,,,,,,,,,560,,
corllt,turret,,90,700,2500,,,,,,,,,,,650,,
corrad,turret,,60,630,1140,,,,,,,,,,,180,,
corck,builder,lab,120,1750,3550,85,130,34.5,,7,,,,,50,820,,
corak,army,lab,43,820,1250,,,81,,,,,,,,280,,
cornecro,builder,lab,130,1400,2800,200,96,78,,,,,,,,220,,
corstorm,army,lab,110,1150,1950,,,47.7,,,,,,,,740,,
corthud,army,lab,140,1150,2100,,,45,,,,,,,,1100,,
corcrash,army,lab,125,1100,1900,,,53.49,,,,,,,,640,,
corcv,builder,vp,145,2100,4160,95,130,51,,10,,,,,50,1430,,
cormuskrat,builder,vp,170,3500,6860,85,110,40.5,,8,,,,,,1110,,
cormlv,builder,vp,65,1300,3640,40,96,69,,,,,,,,450,,
corfav,army,vp,26,270,1150,,,153,,,,,,,,90,,
corgator,army,vp,120,1100,2300,,,85,,,,,,,,820,,
corgarp,army,vp,220,2600,3100,,,58.5,,,,,,,,1420,,
corraid,army,vp,235,2400,3900,,,72,,,,,,,,2000,,
corlevlr,army,vp,220,2600,3100,,,40,,,,,,,,1400,,
corwolv,army,vp,170,2500,3550,,,48,,,,,,,,750,,
cormist,army,vp,155,2400,3440,,,52,,,,,,,,860,,
