unit,against,n_unit,n_against,duels,wins,losses,draws,mean_margin,mean_seconds
armart,armart,9,9,8,5,3,0,-0.037,54.3
armart,armfav,9,39,8,0,8,0,-0.536,18.1
armart,armflash,9,11,8,0,8,0,-0.668,20.1
armart,armflea,9,58,8,0,8,0,-0.282,18.6
armart,armham,9,9,8,0,8,0,-0.567,23.7
armart,armjanus,9,5,8,0,8,0,-0.496,24.7
armart,armjeth,9,10,8,8,0,0,0.249,59.8
armart,armllt,10,16,8,3,5,0,-0.051,80.6
armart,armpw,8,20,8,0,8,0,-0.528,19.9
armart,armrock,8,9,8,0,8,0,-0.351,27.4
armart,armstump,10,6,8,0,8,0,-0.416,30.8
armart,armwar,8,4,8,0,8,0,-0.645,20.6
armart,corak,9,28,8,0,8,0,-0.356,24.6
armart,corcrash,9,10,8,8,0,0,0.270,63.1
armart,corfav,9,47,8,0,8,0,-0.437,17.6
armart,corgator,8,9,8,0,8,0,-0.574,18.0
armart,corlevlr,8,5,8,0,8,0,-0.976,15.8
armart,corllt,8,12,8,0,8,0,-0.195,75.9
armart,cormist,8,7,8,1,7,0,-0.215,48.3
armart,corraid,7,4,8,0,8,0,-0.507,28.1
armart,corstorm,9,11,8,0,8,0,-0.436,29.1
armart,corthud,9,9,8,0,8,0,-0.659,24.6
armart,corwolv,10,8,8,1,7,0,-0.138,39.6
armfav,armart,39,9,8,8,0,0,0.536,18.1
armfav,armfav,39,39,8,5,3,0,0.045,25.4
armfav,armflash,39,11,8,0,8,0,-0.505,13.7
armfav,armflea,39,57,8,0,8,0,-0.315,14.6
armfav,armham,38,9,8,0,8,0,-0.578,14.4
armfav,armjanus,39,5,8,0,8,0,-0.533,14.2
armfav,armjeth,40,10,8,8,0,0,0.780,32.4
armfav,armllt,41,15,8,0,8,0,-0.684,12.5
armfav,armpw,38,22,8,0,8,0,-0.489,12.7
armfav,armrock,39,10,8,1,7,0,-0.207,23.4
armfav,armstump,36,5,8,0,8,0,-0.382,18.8
armfav,armwar,35,4,8,0,8,0,-0.595,13.0
armfav,corak,39,28,8,0,8,0,-0.538,10.3
armfav,corcrash,40,10,8,8,0,0,0.780,30.9
armfav,corfav,38,45,8,0,8,0,-0.165,21.2
armfav,corgator,39,10,8,0,8,0,-0.571,13.2
armfav,corlevlr,43,6,8,0,8,0,-0.834,8.9
armfav,corllt,38,13,8,0,8,0,-0.586,15.7
armfav,cormist,40,8,8,3,5,0,-0.081,42.0
armfav,corraid,38,5,8,0,8,0,-0.397,19.2
armfav,corstorm,39,11,8,0,8,0,-0.389,18.4
armfav,corthud,41,9,8,0,8,0,-0.563,15.2
armfav,corwolv,44,8,8,8,0,0,0.355,22.7
armflash,armart,11,9,8,8,0,0,0.668,20.1
armflash,armfav,11,39,8,8,0,0,0.505,13.7
armflash,armflash,11,11,8,1,7,0,-0.071,27.2
armflash,armflea,11,58,8,8,0,0,0.422,13.1
armflash,armham,13,11,8,0,8,0,-0.218,28.2
armflash,armjanus,11,5,8,0,8,0,-0.448,19.6
armflash,armjeth,8,7,8,8,0,0,0.977,26.0
armflash,armllt,10,13,8,8,0,0,0.290,24.9
armflash,armpw,11,22,8,8,0,0,0.254,24.6
armflash,armrock,11,10,8,8,0,0,0.360,22.6
armflash,armstump,10,5,8,4,4,0,0.012,28.6
armflash,armwar,10,4,8,0,8,0,-0.303,18.3
armflash,corak,11,28,8,7,1,0,0.190,24.7
armflash,corcrash,8,7,8,8,0,0,0.966,22.2
armflash,corfav,11,47,8,8,0,0,0.464,13.1
armflash,corgator,11,10,8,1,7,0,-0.212,23.6
armflash,corlevlr,10,5,8,0,8,0,-0.954,12.3
armflash,corllt,9,11,8,6,2,0,0.164,30.9
armflash,cormist,7,5,8,8,0,0,0.549,18.8
armflash,corraid,11,5,8,0,8,0,-0.214,28.5
armflash,corstorm,11,11,8,7,1,0,0.183,28.4
armflash,corthud,10,8,8,4,4,0,-0.041,34.0
armflash,corwolv,11,7,8,8,0,0,0.738,19.2
armflea,armart,58,9,8,8,0,0,0.282,18.6
armflea,armfav,57,39,8,8,0,0,0.315,14.6
armflea,armflash,58,11,8,0,8,0,-0.422,13.1
armflea,armflea,57,57,8,3,5,0,-0.037,24.2
armflea,armham,56,9,8,0,8,0,-0.486,17.8
armflea,armjanus,57,5,8,3,5,0,-0.163,20.4
armflea,armjeth,60,10,8,8,0,0,0.539,27.8
armflea,armllt,57,14,8,0,8,0,-0.611,15.0
armflea,armpw,57,22,8,0,8,0,-0.187,14.9
armflea,armrock,57,10,8,4,4,0,-0.023,27.6
armflea,armstump,54,5,8,0,8,0,-0.509,14.2
armflea,armwar,51,4,8,0,8,0,-0.759,11.8
armflea,corak,57,28,8,0,8,0,-0.364,13.4
armflea,corcrash,59,10,8,8,0,0,0.479,27.5
armflea,corfav,57,46,8,8,0,0,0.128,20.9
armflea,corgator,57,10,8,0,8,0,-0.491,14.1
armflea,corlevlr,52,5,8,0,8,0,-0.882,10.1
armflea,corllt,56,13,8,0,8,0,-0.530,17.4
armflea,cormist,59,8,8,0,8,0,-0.262,34.8
armflea,corraid,56,5,8,0,8,0,-0.525,15.5
armflea,corstorm,58,11,8,0,8,0,-0.384,24.3
armflea,corthud,60,9,8,0,8,0,-0.589,17.2
armflea,corwolv,57,7,8,8,0,0,0.298,17.7
armham,armart,9,9,8,8,0,0,0.567,23.7
armham,armfav,9,38,8,8,0,0,0.578,14.4
armham,armflash,11,13,8,8,0,0,0.218,28.2
armham,armflea,9,56,8,8,0,0,0.486,17.8
armham,armham,9,9,8,3,5,0,-0.034,45.2
armham,armjanus,11,6,8,1,7,0,-0.137,30.6
armham,armjeth,9,9,8,8,0,0,0.880,22.1
armham,armllt,9,14,8,8,0,0,0.599,35.0
armham,armpw,10,24,8,8,0,0,0.436,20.1
armham,armrock,11,12,8,8,0,0,0.421,31.5
armham,armstump,7,4,8,8,0,0,0.376,31.7
armham,armwar,10,5,8,0,8,0,-0.150,32.1
armham,corak,9,27,8,8,0,0,0.436,23.3
armham,corcrash,9,9,8,8,0,0,0.894,21.1
armham,corfav,9,45,8,8,0,0,0.598,14.6
armham,corgator,11,12,8,6,2,0,0.167,33.2
armham,corlevlr,10,6,8,0,8,0,-0.685,18.9
armham,corllt,9,13,8,8,0,0,0.639,35.7
armham,cormist,6,5,8,8,0,0,0.666,25.6
armham,corraid,9,5,8,8,0,0,0.259,38.9
armham,corstorm,11,13,8,8,0,0,0.313,37.4
armham,corthud,11,10,8,8,0,0,0.161,46.5
armham,corwolv,9,7,8,8,0,0,0.402,23.1
armjanus,armart,5,9,8,8,0,0,0.496,24.7
armjanus,armfav,5,39,8,8,0,0,0.533,14.2
armjanus,armflash,5,11,8,8,0,0,0.448,19.6
armjanus,armflea,5,57,8,5,3,0,0.163,20.4
armjanus,armham,6,11,8,7,1,0,0.137,30.6
armjanus,armjanus,5,5,8,4,4,0,-0.056,19.3
armjanus,armjeth,5,10,8,8,0,0,0.774,17.8
armjanus,armllt,5,14,8,8,0,0,0.287,36.8
armjanus,armpw,5,22,8,7,1,0,0.337,19.4
armjanus,armrock,5,10,8,8,0,0,0.364,27.4
armjanus,armstump,5,5,8,8,0,0,0.378,23.3
armjanus,armwar,6,5,8,8,0,0,0.373,22.1
armjanus,corak,5,28,8,8,0,0,0.457,21.9
armjanus,corcrash,5,10,8,8,0,0,0.698,18.4
armjanus,corfav,5,46,8,8,0,0,0.574,15.2
armjanus,corgator,5,10,8,7,1,0,0.484,19.6
armjanus,corlevlr,5,5,8,0,8,0,-0.237,17.4
armjanus,corllt,6,16,8,8,0,0,0.431,33.4
armjanus,cormist,5,8,8,8,0,0,0.503,27.2
armjanus,corraid,5,5,8,7,1,0,0.250,26.1
armjanus,corstorm,5,11,8,7,1,0,0.126,32.2
armjanus,corthud,6,10,8,6,2,0,0.147,28.9
armjanus,corwolv,5,7,8,8,0,0,0.490,19.8
armjeth,armart,10,9,8,0,8,0,-0.249,59.8
armjeth,armfav,10,40,8,0,8,0,-0.780,32.4
armjeth,armflash,7,8,8,0,8,0,-0.977,26.0
armjeth,armflea,10,60,8,0,8,0,-0.539,27.8
armjeth,armham,9,9,8,0,8,0,-0.880,22.1
armjeth,armjanus,10,5,8,0,8,0,-0.774,17.8
armjeth,armjeth,10,10,8,0,0,8,0.000,60.0
armjeth,armllt,10,15,8,0,8,0,-0.961,55.2
armjeth,armpw,10,23,8,0,8,0,-0.802,16.9
armjeth,armrock,10,10,8,0,8,0,-0.711,25.8
armjeth,armstump,9,5,8,0,8,0,-0.795,30.4
armjeth,armwar,11,5,8,0,8,0,-0.993,20.9
armjeth,corak,10,29,8,0,8,0,-0.918,15.7
armjeth,corcrash,10,10,8,0,0,8,0.000,60.0
armjeth,corfav,10,48,8,0,8,0,-0.809,30.6
armjeth,corgator,10,10,8,0,8,0,-0.875,23.2
armjeth,corlevlr,7,4,8,0,8,0,-0.991,14.1
armjeth,corllt,10,14,8,0,8,0,-0.983,57.6
armjeth,cormist,10,8,8,0,8,0,-0.845,39.7
armjeth,corraid,11,6,8,0,8,0,-0.862,28.1
armjeth,corstorm,7,8,8,0,8,0,-0.822,22.9
armjeth,corthud,10,9,8,0,8,0,-0.900,24.1
armjeth,corwolv,11,8,8,0,8,0,-0.279,53.0
armllt,armart,16,10,8,5,3,0,0.051,80.6
