match,site,sequence,x,y,rep,x_end,x_team,n_x,n_y,metal_x,metal_y,winner,reason,seconds,contact_seconds,survivors_x,survivors_y,value_left_x,value_left_y,damage_taken_x,damage_taken_y
0,0,1,armwar,corlevlr,0,west,0,4,5,1080,1100,y,wiped,18.5,11.0,0,4,0.000,0.562,6793,3196
0,1,1,armham,corlevlr,2,west,1,10,6,1300,1320,y,wiped,22.5,11.5,0,6,0.000,0.549,11384,3954
1,0,1,armjeth,armart,2,west,1,10,9,1250,1215,y,wiped,50.5,18.5,0,6,0.000,0.539,6892,2729
1,1,1,corraid,armllt,2,west,1,4,11,940,935,x,wiped,54.5,11.5,2,0,0.360,0.000,5226,7489
0,1,2,armstump,cormist,1,east,0,5,7,1125,1085,x,wiped,32.0,7.5,5,0,0.671,0.000,3036,6526
1,0,2,corak,corcrash,1,east,0,29,10,1247,1250,x,wiped,18.0,7.5,29,0,0.865,0.000,1152,6483
0,0,2,armrock,corllt,2,west,1,9,12,1080,1080,x,wiped,59.5,15.0,4,0,0.226,0.000,5205,9133
1,1,2,corraid,corlevlr,3,east,1,5,5,1175,1100,y,wiped,18.5,9.5,0,5,0.000,0.570,10766,3168
0,1,3,corstorm,corstorm,0,west,0,11,11,1210,1210,x,wiped,53.0,11.5,3,0,0.169,0.000,7401,8973
0,0,3,armstump,corgator,3,east,1,6,11,1350,1320,y,wiped,32.5,8.0,0,3,0.000,0.120,11191,8683
1,0,3,corcrash,cormist,1,east,0,10,8,1250,1240,y,wiped,41.5,1.0,0,8,0.000,0.968,6851,235
0,1,4,armjeth,corstorm,0,west,0,7,8,875,880,y,wiped,28.0,10.0,0,8,0.000,1.000,4895,0
1,1,3,corthud,corraid,0,west,0,10,6,1400,1410,x,wiped,45.0,9.0,3,0,0.187,0.000,9643,12808
0,0,4,corcrash,armart,3,east,1,10,9,1250,1215,y,wiped,69.5,19.0,0,5,0.000,0.446,7091,3441
1,1,4,armjeth,corak,2,west,1,10,29,1250,1247,y,wiped,16.0,7.5,0,29,0.000,0.960,6403,342
1,0,4,armrock,armstump,0,west,0,11,6,1320,1350,y,wiped,36.0,10.0,0,6,0.000,0.377,8574,6931
0,1,5,armwar,armllt,1,east,0,5,16,1350,1360,x,wiped,50.0,17.0,3,0,0.457,0.000,4407,10343
0,0,5,armpw,armjanus,1,east,0,22,5,1188,1200,x,wiped,18.0,8.5,6,0,0.167,0.000,9305,5336
1,0,5,corstorm,cormist,0,west,0,7,5,770,775,x,wiped,27.5,8.5,7,0,0.586,0.000,2206,4720
1,1,5,armrock,corstorm,1,east,0,10,11,1200,1210,y,wiped,47.0,10.0,0,4,0.000,0.274,7897,6317
0,1,6,corraid,cormist,2,west,1,6,9,1410,1395,x,wiped,35.0,7.0,6,0,0.674,0.000,4003,8282
0,0,6,armham,armstump,3,east,1,7,4,910,900,x,wiped,32.0,9.5,4,0,0.351,0.000,4864,7589
1,1,6,armflash,corwolv,1,east,0,11,7,1210,1190,x,wiped,17.5,9.0,11,0,0.953,0.000,399,5299
1,0,6,armrock,armham,1,east,0,12,11,1440,1430,y,wiped,35.0,10.0,0,7,0.000,0.357,9907,7612
0,1,7,armrock,cormist,1,east,0,9,7,1080,1085,x,wiped,32.0,8.0,7,0,0.532,0.000,3157,6640
0,0,7,corthud,armflash,1,east,0,8,10,1120,1100,x,wiped,35.5,7.0,2,0,0.022,0.000,9048,8249
1,1,7,corstorm,armart,2,west,1,11,9,1210,1215,x,wiped,26.5,10.0,11,0,0.684,0.000,2709,5862
0,1,8,corak,corgator,1,east,0,28,10,1204,1200,y,wiped,30.0,6.5,0,4,0.000,0.111,8457,7622
0,0,8,armflash,corraid,2,west,1,11,5,1210,1175,x,wiped,31.5,7.5,3,0,0.125,0.000,7794,10351
1,0,7,armflash,armllt,0,west,0,10,13,1100,1105,x,wiped,47.5,-1.0,4,0,0.192,0.000,6104,8498
0,1,9,armflash,armstump,0,west,0,10,5,1100,1125,x,wiped,25.0,7.5,3,0,0.142,0.000,6946,9253
1,1,8,corlevlr,corlevlr,2,west,1,5,5,1100,1100,x,wiped,22.0,12.5,1,0,0.005,0.000,7528,7622
0,0,9,armstump,corgator,0,west,0,6,11,1350,1320,y,wiped,35.5,7.0,0,2,0.000,0.025,11180,9594
0,1,10,armwar,corlevlr,1,east,0,4,5,1080,1100,y,wiped,17.5,11.0,0,5,0.000,0.627,6776,2713
1,0,8,armstump,cormist,3,east,1,5,7,1125,1085,x,wiped,30.5,7.0,5,0,0.670,0.000,3040,6431
1,1,9,armrock,armham,3,east,1,12,11,1440,1430,y,wiped,31.5,10.0,0,8,0.000,0.404,9770,7058
0,1,11,corak,corwolv,2,west,1,28,7,1204,1190,x,wiped,18.5,8.0,21,0,0.512,0.000,4746,5359
0,0,10,corlevlr,armllt,0,west,0,5,13,1100,1105,x,wiped,49.5,20.0,4,0,0.360,0.000,4582,9958
1,0,9,armpw,corraid,1,east,0,26,6,1404,1410,y,wiped,26.5,7.5,0,5,0.000,0.249,11417,9283
1,1,10,corak,corak,3,east,1,28,28,1204,1204,x,wiped,25.5,6.0,6,0,0.101,0.000,7481,8278
0,1,12,corthud,armflash,3,east,1,8,10,1120,1100,y,wiped,45.0,8.0,0,2,0.000,0.080,9237,7425
1,0,10,corlevlr,cormist,0,west,0,5,7,1100,1085,x,wiped,20.0,9.0,5,0,0.716,0.000,2023,6540
0,0,11,corstorm,corraid,2,west,1,11,5,1210,1175,y,wiped,37.5,9.5,0,5,0.000,0.236,8956,7884
1,1,11,corcrash,corraid,3,east,1,11,6,1375,1410,y,wiped,28.0,9.0,0,6,0.000,0.945,7607,690
0,1,13,armrock,corthud,0,west,0,7,6,840,840,y,wiped,28.5,9.5,0,6,0.000,0.469,5570,3616
0,0,12,corak,armart,1,east,0,28,9,1204,1215,x,wiped,20.5,7.5,25,0,0.640,0.000,3038,5685
1,0,11,armjeth,armjanus,3,east,1,10,5,1250,1200,y,wiped,25.5,10.5,0,5,0.000,0.977,7289,123
0,1,14,corak,armstump,2,west,1,26,5,1118,1125,y,wiped,24.5,7.5,0,4,0.000,0.251,8324,6978
0,0,13,corgator,corlevlr,0,west,0,11,6,1320,1320,y,wiped,14.0,8.5,0,6,0.000,0.845,9966,1358
1,1,12,armflash,corllt,3,east,1,9,11,990,990,x,wiped,44.0,8.5,3,0,0.135,0.000,5923,7567
1,0,12,armjanus,corraid,3,east,1,5,5,1200,1175,x,wiped,33.0,10.5,2,0,0.075,0.000,5145,11097
0,1,15,corstorm,corlevlr,2,west,1,10,5,1100,1100,y,wiped,22.5,11.0,0,5,0.000,0.526,8661,3467
1,1,13,armwar,corgator,3,east,1,4,9,1080,1080,x,wiped,20.0,7.0,3,0,0.324,0.000,4441,7695
0,0,14,corthud,armflash,0,west,0,8,10,1120,1100,y,wiped,37.5,7.0,0,3,0.000,0.136,9192,6817
1,0,13,armwar,corak,0,west,0,4,25,1080,1075,x,wiped,18.5,6.5,4,0,0.513,0.000,3205,7374
0,0,15,armjeth,corwolv,2,west,1,11,8,1375,1360,y,wiped,44.0,21.0,0,5,0.000,0.562,7785,3437
