unit,against,n_unit,n_against,duels,wins,losses,draws,mean_margin,mean_seconds
armart,armart,9,9,4,1,3,0,-0.066,64.6
armart,armfav,9,39,4,3,0,1,0.188,59.1
armart,armflash,9,11,4,0,4,0,-0.790,19.0
armart,armflea,9,58,4,2,0,2,0.248,79.1
armart,armham,9,9,4,0,4,0,-0.720,24.4
armart,armjanus,9,5,4,0,4,0,-0.530,31.8
armart,armjeth,9,10,4,4,0,0,0.512,54.9
armart,armllt,10,16,4,0,4,0,-0.426,89.2
armart,armpw,8,20,4,0,4,0,-0.773,19.2
armart,armrock,8,9,4,0,4,0,-0.613,28.8
armart,armstump,10,6,4,0,4,0,-0.549,29.0
armart,armwar,8,4,4,0,4,0,-0.768,21.9
armart,corak,9,28,4,0,4,0,-0.615,20.1
armart,corcrash,9,10,4,4,0,0,0.492,55.8
armart,corfav,9,47,4,4,0,0,0.220,75.5
armart,corgator,8,9,4,0,4,0,-0.715,18.5
armart,corlevlr,8,5,4,0,4,0,-0.849,17.5
armart,corllt,8,12,4,0,4,0,-0.529,65.8
armart,cormist,8,7,4,0,4,0,-0.426,43.8
armart,corraid,7,4,4,0,4,0,-0.655,26.9
armart,corstorm,9,11,4,0,4,0,-0.676,28.9
armart,corthud,9,9,4,0,4,0,-0.725,25.6
armart,corwolv,10,8,4,1,3,0,-0.115,51.0
armfav,armart,39,9,4,0,3,1,-0.188,59.1
armfav,armfav,39,39,4,3,1,0,0.055,21.1
armfav,armflash,39,11,4,0,4,0,-0.607,12.4
armfav,armflea,39,57,4,0,4,0,-0.248,23.4
armfav,armham,38,9,4,0,4,0,-0.518,17.5
armfav,armjanus,39,5,4,0,4,0,-0.365,21.6
armfav,armjeth,40,10,4,4,0,0,0.853,32.0
armfav,armllt,41,15,4,0,4,0,-0.784,15.4
armfav,armpw,38,22,4,0,4,0,-0.584,10.4
armfav,armrock,39,10,4,0,4,0,-0.321,27.1
armfav,armstump,36,5,4,0,4,0,-0.478,17.9
armfav,armwar,35,4,4,0,4,0,-0.705,12.0
armfav,corak,39,28,4,0,4,0,-0.754,10.4
armfav,corcrash,40,10,4,4,0,0,0.791,33.1
armfav,corfav,38,45,4,0,4,0,-0.208,23.0
armfav,corgator,39,10,4,0,4,0,-0.668,11.4
armfav,corlevlr,43,6,4,0,4,0,-0.775,19.0
armfav,corllt,38,13,4,0,3,1,-0.768,29.5
armfav,cormist,40,8,4,0,4,0,-0.471,46.5
armfav,corraid,38,5,4,0,4,0,-0.465,19.4
armfav,corstorm,39,11,4,0,4,0,-0.421,24.2
armfav,corthud,41,9,4,0,4,0,-0.566,24.8
armfav,corwolv,44,8,4,0,4,0,-0.273,62.4
armflash,armart,11,9,4,4,0,0,0.790,19.0
armflash,armfav,11,39,4,4,0,0,0.607,12.4
armflash,armflash,11,11,4,2,2,0,-0.011,26.8
armflash,armflea,11,58,4,4,0,0,0.560,21.0
armflash,armham,13,11,4,2,2,0,-0.006,39.2
armflash,armjanus,11,5,4,3,1,0,0.104,22.2
armflash,armjeth,8,7,4,4,0,0,0.974,17.4
