t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,968,721,4.00,30.0,1,0,300,0,0,0,0,0,1.00,5,75
20,968,873,4.00,42.7,1,0,300,0,0,0,0,0,1.00,5,75
30,966,782,4.00,42.7,1,0,300,0,0,0,0,0,1.00,5,146
40,998,1000,6.00,42.7,2,0,300,0,0,0,0,0,1.00,5,214
50,906,1050,6.00,62.7,2,0,300,0,0,0,0,0,1.00,5,543
60,666,1047,6.00,62.7,2,0,300,0,0,0,0,0,1.00,5,543
70,529,1075,6.00,62.7,2,0,450,1,0,0,0,0,1.00,5,557
80,398,946,6.00,62.7,2,0,450,1,0,0,0,0,1.00,5,557
90,372,883,6.00,82.7,2,0,450,1,0,0,0,0,1.00,5,557
100,330,1045,6.00,102.4,2,0,530,1,1,0,0,0,1.00,5,557
110,291,1201,6.00,102.4,2,0,530,1,1,0,1,120,1.00,5,557
120,231,1090,6.00,115.1,2,0,530,1,1,0,1,120,1.00,5,557
130,192,925,8.00,115.1,3,0,530,1,1,0,2,250,1.00,5,557
140,125,379,8.00,115.1,4,0,530,1,1,0,2,250,1.00,5,557
150,129,303,10.00,115.1,4,0,530,1,1,0,3,520,1.00,5,557
160,154,375,10.00,115.1,4,0,530,1,1,0,3,520,1.00,5,557
170,14,430,10.00,135.1,4,0,530,1,1,0,4,574,1.00,5,557
180,45,793,12.00,135.1,5,0,530,1,1,0,5,704,1.00,5,557
190,69,887,12.00,135.1,5,0,530,1,1,0,5,704,1.00,5,557
200,93,981,12.00,135.1,5,0,530,1,1,0,5,704,1.00,5,557
210,77,729,12.00,135.1,6,0,530,1,1,0,6,974,1.00,5,557
220,111,836,14.00,135.1,6,0,530,1,1,0,6,974,1.00,5,557
230,147,884,14.00,135.1,6,0,530,1,1,0,7,1104,1.00,5,557
240,192,832,16.00,135.1,7,0,530,1,1,0,7,1104,1.00,5,557
250,249,799,16.00,135.1,7,0,530,1,1,0,7,1104,1.00,5,557
260,304,974,16.00,135.1,7,0,530,1,1,0,8,1374,1.00,5,557
270,210,1203,17.00,135.1,8,0,530,1,1,0,9,1494,1.00,5,557
280,217,496,18.00,155.1,8,0,530,1,1,0,10,1624,1.00,5,557
290,233,0,18.00,162.1,8,0,610,1,2,0,10,1624,0.48,5,557
300,245,239,18.00,162.1,8,0,610,1,2,0,11,1754,1.00,5,557
310,157,431,20.00,182.1,9,0,610,1,2,0,11,1754,1.00,5,557
320,213,874,20.00,182.1,9,0,610,1,2,0,11,1754,1.00,5,557
330,208,1020,20.00,214.8,9,0,610,1,2,0,12,2024,1.00,5,557
340,168,903,20.00,214.8,9,0,610,1,2,0,14,2274,1.00,5,557
350,120,995,22.00,214.8,10,0,610,1,2,0,16,2514,1.00,5,557
360,64,568,22.00,214.8,10,0,610,1,2,0,17,2644,1.00,5,557
370,30,0,22.00,214.8,10,0,610,1,2,0,18,2774,0.56,5,557
380,142,876,22.00,234.8,10,0,610,1,2,0,19,3044,1.00,5,557
390,172,1470,22.00,247.5,10,0,610,1,2,0,19,3044,1.00,5,557
400,88,585,24.00,247.5,11,0,610,1,2,0,20,3314,1.00,5,557
410,59,291,24.00,247.5,11,0,610,1,2,0,21,3584,1.00,5,557
420,101,835,24.00,267.5,11,0,610,1,2,0,22,3704,1.00,5,557
430,86,246,24.00,267.5,11,0,610,1,2,0,23,3974,1.00,5,557
440,120,287,24.00,267.5,11,0,610,1,2,0,24,4244,1.00,5,557
450,123,248,24.00,267.5,11,0,610,1,2,0,25,4374,1.00,5,557
460,164,418,24.00,280.2,11,0,610,1,2,0,26,4644,1.00,5,557
470,183,853,24.00,280.2,11,0,610,1,2,0,27,4764,1.00,5,557
480,153,574,24.00,280.2,11,0,610,1,2,0,28,5034,1.00,5,557
490,178,985,24.00,292.9,11,0,610,1,2,0,29,5154,1.00,5,557
500,153,1057,24.00,292.9,11,0,610,1,2,0,31,5544,1.00,5,557
510,141,899,24.00,305.6,11,0,610,1,2,0,31,5544,1.00,5,557
520,88,255,24.00,305.6,11,0,610,1,2,0,33,6084,1.00,5,557
530,78,681,24.00,305.6,11,0,610,1,2,0,35,6334,1.00,5,557
540,56,403,24.00,305.6,11,0,610,1,2,0,35,6334,1.00,5,557
550,39,364,24.00,305.6,11,0,610,1,2,0,37,6734,1.00,5,557
560,49,573,24.00,305.6,11,0,610,1,2,0,38,7004,1.00,5,557
570,0,53,24.00,305.6,11,0,610,1,2,0,39,7134,0.61,5,557
580,18,235,24.00,305.6,11,0,610,1,2,0,40,7404,1.00,5,557
590,48,737,24.00,305.6,11,0,610,1,2,0,42,7804,1.00,5,557
600,1,198,24.00,305.6,11,0,610,1,2,0,43,8074,1.00,5,557
