t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,968,721,4.00,30.0,1,0,300,0,0,0,0,0,1.00,5,75
20,853,1011,4.00,50.0,1,0,300,0,0,0,0,0,1.00,5,75
30,834,1050,4.00,62.7,1,0,300,0,0,0,0,0,1.00,5,299
40,748,1051,4.00,75.4,1,0,300,0,0,0,0,0,1.00,5,692
50,488,1051,4.00,75.4,1,0,300,0,0,0,0,0,1.00,5,846
60,407,1139,4.00,75.4,1,0,450,1,0,0,0,0,1.00,5,919
70,351,664,6.00,75.4,2,0,450,1,0,0,0,0,1.00,5,919
80,345,651,6.00,82.4,2,0,530,1,1,0,0,0,1.00,5,919
90,340,738,6.00,95.1,2,0,530,1,1,0,0,0,1.00,5,919
100,350,911,6.00,95.1,2,0,530,1,1,0,0,0,1.00,5,919
110,343,1005,6.00,102.1,2,0,610,1,2,0,0,0,1.00,5,919
120,296,794,6.00,102.1,2,0,610,1,2,0,0,0,1.00,5,919
130,287,684,10.00,121.8,4,0,690,1,3,0,0,0,1.00,5,919
140,314,942,10.00,121.8,4,0,690,1,3,0,0,0,1.00,5,919
150,279,353,10.00,125.3,5,0,770,1,4,0,0,0,1.00,5,919
160,338,464,12.00,154.2,5,0,770,1,4,0,0,0,1.00,5,919
170,302,161,12.00,154.2,5,0,770,1,4,0,0,0,1.00,5,919
180,278,309,14.00,161.2,6,1,850,1,5,0,0,0,1.00,5,919
190,264,348,14.00,161.2,6,2,850,1,5,0,1,54,1.00,5,919
200,262,867,14.00,201.2,6,2,850,1,5,0,1,54,1.00,5,919
210,293,1165,14.69,208.2,6,2,930,1,6,0,1,54,1.00,5,919
220,322,1202,15.33,218.2,6,3,930,1,6,0,1,54,1.00,5,919
230,287,1277,15.57,255.2,6,3,930,1,7,0,1,54,1.00,5,919
240,342,1277,14.91,255.2,6,3,930,1,7,0,1,54,1.00,5,919
250,201,1315,15.19,262.2,6,3,930,1,8,0,1,54,1.00,5,919
260,228,1352,17.60,282.2,7,4,930,1,8,0,1,54,1.00,5,919
270,316,1390,20.66,302.2,8,5,930,1,8,0,1,54,1.00,5,919
280,405,1427,21.69,309.2,9,5,930,1,9,0,1,54,1.00,5,919
290,201,1465,21.85,312.7,9,5,930,1,10,0,1,54,1.00,5,919
300,139,1540,21.32,316.2,9,5,1080,2,10,0,1,54,1.00,5,919
310,169,1540,22.59,316.2,10,5,1080,2,10,0,1,54,1.00,5,919
320,237,1652,23.41,350.2,10,5,1080,2,12,0,1,54,1.00,5,919
330,248,1468,24.00,350.2,11,6,1080,2,12,0,1,54,1.00,5,919
340,163,837,24.00,357.2,11,6,1080,2,13,0,1,54,1.00,5,919
350,128,905,26.00,364.2,12,6,1280,2,14,1,1,54,1.00,5,919
360,107,1502,26.00,391.2,12,6,1280,2,15,1,1,54,1.00,5,919
370,97,1078,26.00,405.2,12,6,1280,2,17,1,1,54,1.00,5,919
380,84,1225,28.00,432.2,13,7,1480,2,18,2,1,54,1.00,5,919
390,160,1805,30.00,446.2,14,7,1480,2,20,2,1,54,1.00,5,919
400,127,2102,32.20,460.2,15,7,1480,2,22,2,2,184,1.00,5,919
410,165,2140,33.26,479.9,15,8,1480,2,23,2,2,184,1.00,5,919
420,206,2215,32.60,493.9,15,8,1480,2,26,2,2,184,1.00,5,919
430,36,2328,32.52,530.9,15,8,1480,2,26,2,3,304,1.00,5,919
440,146,2403,36.29,567.6,16,8,1480,2,28,2,4,434,1.00,5,919
450,112,2440,34.98,574.6,16,8,1480,2,29,2,6,618,1.00,5,919
460,101,2367,35.00,581.6,17,8,1480,2,30,2,6,618,1.00,5,919
470,73,2516,38.96,601.6,17,9,1480,2,31,2,7,748,1.00,5,919
480,188,2590,38.79,628.6,17,9,1480,2,31,2,9,1072,1.00,5,919
490,195,2628,36.90,635.6,17,9,1480,2,32,2,10,1202,1.00,5,919
500,251,2778,39.42,676.6,18,10,1480,2,35,2,10,1202,1.00,5,919
510,314,2853,41.31,690.6,18,10,1480,2,37,2,10,1202,1.00,5,919
520,495,2966,45.65,721.1,18,10,1480,2,39,2,11,1322,1.00,5,919
530,507,3003,48.15,734.6,19,10,1480,2,39,2,13,1562,1.00,5,919
540,697,3040,44.65,751.6,19,10,1480,2,40,2,13,1562,1.00,5,919
550,781,3116,44.41,765.6,19,10,1480,2,42,2,13,1562,1.00,5,919
560,868,3190,48.10,779.6,20,10,1480,2,44,2,13,1562,1.00,5,919
570,964,3310,57.00,839.3,22,11,1480,2,45,2,14,1832,1.00,5,919
580,1534,3343,57.00,839.3,22,11,1480,2,45,2,14,1832,1.00,5,919
590,2104,3376,57.00,839.3,22,11,1480,2,45,2,14,1832,1.00,5,919
600,2300,3409,57.00,839.3,22,11,1480,2,45,2,14,1832,1.00,379,919
