t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,973,980,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,141
20,934,837,4.00,42.7,1,0,300,0,0,0,0,0,1.00,3,141
30,776,911,4.00,55.4,1,0,300,0,0,0,0,0,1.00,3,141
40,516,865,4.00,55.4,1,0,300,0,0,0,0,0,1.00,3,141
50,458,619,4.00,55.4,1,0,450,1,0,0,0,0,1.00,3,141
60,369,574,4.00,68.1,1,0,450,1,0,0,0,0,1.00,3,141
70,292,744,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,141
80,238,511,4.00,95.1,1,0,530,1,1,0,0,0,1.00,3,141
90,250,743,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,141
100,254,931,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,141
110,244,974,6.00,102.1,2,0,610,1,2,0,0,0,1.00,3,141
120,189,631,9.00,109.1,4,0,690,1,3,0,0,0,1.00,3,141
130,215,753,10.00,109.1,4,0,690,1,3,0,0,0,1.00,3,141
140,234,838,10.00,128.8,4,0,770,1,4,0,0,0,1.00,3,141
150,257,979,11.00,128.8,5,0,770,1,4,0,1,54,1.00,3,141
160,194,758,12.00,128.8,5,0,770,1,4,0,1,54,1.00,3,141
170,177,731,16.00,128.8,7,0,770,1,4,0,2,184,1.00,3,141
180,191,616,16.00,128.8,7,0,770,1,4,0,2,184,1.00,3,141
190,282,863,18.00,155.8,8,0,850,1,5,0,2,184,1.00,3,141
200,293,655,20.00,155.8,9,0,850,1,5,0,2,184,1.00,3,141
210,308,548,20.00,168.5,9,0,850,1,5,0,2,184,1.00,3,141
220,366,796,22.00,168.5,10,0,850,1,5,0,3,454,1.00,3,141
230,310,732,22.00,201.2,10,0,850,1,5,0,3,454,1.00,3,141
240,265,525,22.00,201.2,10,0,850,1,5,0,3,454,1.00,3,141
250,270,636,24.00,201.2,11,0,850,1,5,0,4,724,1.00,3,141
260,249,1238,24.00,241.2,11,0,850,1,5,0,4,724,1.00,3,141
270,192,1526,26.00,261.2,12,0,850,1,5,0,5,994,1.00,3,349
280,149,1308,26.00,261.2,12,0,850,1,5,0,7,1168,1.00,3,450
290,89,1122,28.00,273.9,13,0,850,1,5,0,8,1438,1.00,3,450
300,50,1038,28.00,313.9,13,0,850,1,5,0,9,1558,1.00,3,450
310,54,1125,28.00,313.9,13,0,850,1,5,0,10,1828,1.00,3,450
320,44,982,28.00,326.6,13,0,850,1,5,0,11,1948,1.00,3,450
330,8,624,32.00,326.6,15,0,850,1,5,0,12,2218,1.00,3,450
340,63,982,32.00,326.6,15,0,850,1,5,0,13,2488,1.00,3,450
350,63,786,32.00,346.6,15,0,850,1,5,0,14,2758,1.00,3,450
360,114,899,32.00,359.3,15,0,850,1,5,0,15,3028,1.00,3,450
370,84,608,32.00,359.3,15,0,850,1,5,0,16,3298,1.00,3,450
380,80,897,36.00,359.3,17,0,850,1,5,0,17,3568,1.00,3,450
390,81,951,36.00,359.3,17,0,850,1,5,0,18,3838,1.00,3,450
400,87,498,36.00,379.3,17,0,850,1,5,0,19,4108,1.00,3,450
410,188,754,38.00,399.3,18,0,850,1,5,0,19,4108,1.00,3,450
420,256,273,38.00,399.3,18,0,850,1,5,0,21,4648,1.00,3,450
430,361,507,38.00,399.3,18,1,850,1,5,0,21,4648,1.00,3,450
440,448,631,38.00,399.3,18,1,850,1,5,0,23,5188,1.00,3,450
450,516,534,38.00,399.3,18,1,850,1,5,0,24,5458,1.00,3,450
460,593,422,40.00,399.3,19,1,850,1,5,0,25,5728,1.00,3,450
470,684,852,40.00,399.3,19,1,850,1,5,0,26,5998,1.00,3,450
480,776,1282,40.00,399.3,19,1,850,1,5,0,27,6268,1.00,3,450
490,787,773,40.00,409.3,19,1,850,1,5,0,28,6538,1.00,3,450
500,961,1569,41.00,419.3,19,1,850,1,5,0,29,6808,1.00,3,450
510,1036,1301,40.00,419.3,19,1,850,1,5,0,30,7078,1.00,3,450
520,1089,863,42.00,419.3,20,1,850,1,5,0,31,7348,1.00,3,450
530,1176,625,42.00,419.3,20,1,850,1,5,0,32,7618,1.00,3,450
540,1289,737,42.00,419.3,20,1,850,1,5,0,33,7888,1.00,3,450
550,1386,689,42.00,419.3,20,1,850,1,5,0,34,8158,1.00,3,450
560,1501,590,46.00,419.3,22,1,850,1,5,0,36,8698,1.00,3,450
570,1707,1207,46.00,419.3,22,1,850,1,5,0,36,8698,1.00,3,450
580,1921,1557,47.00,419.3,22,1,850,1,5,0,38,9088,1.00,3,450
590,2140,1895,47.00,419.3,22,1,850,1,5,0,39,9358,1.00,3,510
600,2200,1189,46.00,419.3,22,1,850,1,5,0,41,9758,1.00,107,825
