t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,973,980,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,141
20,866,764,4.00,42.7,1,0,300,0,0,0,0,0,1.00,3,141
30,606,591,4.00,42.7,1,0,300,0,0,0,0,0,1.00,3,141
40,432,432,4.00,42.7,1,0,450,1,0,0,0,0,1.00,3,141
50,313,243,4.00,62.7,1,0,450,1,0,0,0,0,1.00,3,141
60,191,288,4.00,89.7,1,0,530,1,1,0,0,0,1.00,3,141
70,154,167,4.00,89.7,1,0,530,1,1,0,0,0,1.00,3,141
80,141,108,6.00,89.7,2,0,530,1,1,0,0,0,1.00,3,141
90,100,73,6.00,109.4,2,0,610,1,2,0,0,0,1.00,3,141
100,50,41,6.00,122.1,2,0,610,1,2,0,0,0,1.00,3,141
110,69,512,8.00,129.1,3,0,690,1,3,0,0,0,1.00,3,141
120,87,873,8.00,129.1,3,0,690,1,3,0,0,0,1.00,3,141
130,97,1156,8.00,129.1,3,0,690,1,3,0,0,0,1.00,3,141
140,65,981,12.00,136.1,5,0,770,1,4,0,0,0,1.00,3,141
150,115,1274,12.00,136.1,5,0,770,1,4,0,0,0,1.00,3,141
160,169,1452,14.00,143.1,6,0,850,1,5,0,0,0,1.00,3,273
170,200,1452,14.00,143.1,6,0,850,1,5,0,0,0,1.00,3,330
180,244,1451,16.00,162.8,7,0,930,1,6,0,0,0,1.00,3,438
190,247,1019,20.00,162.8,9,0,930,1,6,0,0,0,1.00,3,438
200,250,742,20.00,162.8,9,0,930,1,6,0,0,0,1.00,3,438
210,261,329,24.00,162.8,11,0,930,1,6,0,1,270,1.00,3,438
220,357,597,26.00,162.8,12,0,930,1,6,0,1,270,1.00,3,438
230,439,360,30.00,182.8,14,0,930,1,6,0,2,390,1.00,3,438
240,580,626,30.00,182.8,14,0,930,1,6,0,3,510,1.00,3,438
250,717,777,34.00,182.8,16,0,930,1,6,0,3,510,1.00,3,438
260,873,891,34.00,182.8,16,0,930,1,6,0,4,630,1.00,3,438
270,1037,588,38.00,202.8,19,0,930,1,6,0,5,750,1.00,3,438
280,1295,575,40.00,202.8,19,0,930,1,6,0,6,880,1.00,3,438
290,1553,258,42.00,202.8,20,0,930,1,6,0,6,880,1.00,3,438
300,1841,170,42.00,202.8,20,0,930,1,6,0,7,1150,1.00,3,438
