t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,966,1000,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,113
20,822,994,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
30,542,978,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,241
40,436,825,2.00,55.4,0,0,450,1,0,0,0,0,1.00,3,241
50,372,633,2.00,68.1,0,0,450,1,0,0,0,0,1.00,3,241
60,335,753,2.00,87.8,0,0,530,1,1,0,0,0,1.00,3,241
70,307,936,2.00,87.8,0,0,530,1,1,0,0,0,1.00,3,241
80,216,472,3.00,87.8,1,0,530,1,1,0,0,0,1.00,3,241
90,191,538,4.00,94.8,1,0,610,1,2,0,0,0,1.00,3,241
100,174,582,6.00,94.8,2,0,610,1,2,0,0,0,1.00,3,241
110,164,638,6.00,101.8,2,0,690,1,3,0,0,0,1.00,3,241
120,68,90,7.00,101.8,3,0,690,1,3,0,0,0,1.00,3,241
130,58,319,10.00,121.5,4,0,770,1,4,0,0,0,1.00,3,241
140,10,175,12.00,121.5,5,0,770,1,4,0,0,0,1.00,3,241
150,0,274,12.00,121.5,5,0,770,1,4,0,0,0,0.59,3,241
160,15,317,14.00,148.5,6,0,850,1,5,0,0,0,1.00,3,241
170,75,672,16.00,161.2,7,0,850,1,5,0,0,0,1.00,3,241
180,62,703,17.00,161.2,8,0,850,1,5,0,0,0,1.00,3,241
190,96,979,20.00,180.9,9,0,930,1,6,0,0,0,1.00,3,241
200,66,789,20.00,180.9,9,0,930,1,6,0,0,0,1.00,3,241
210,9,452,20.00,213.6,10,0,930,1,6,0,0,0,1.00,3,241
220,55,681,24.00,226.3,11,0,930,1,6,0,1,270,1.00,3,241
230,66,707,24.00,226.3,11,0,930,1,6,0,2,324,1.00,3,241
240,104,698,26.00,259.0,12,0,930,1,6,0,2,324,1.00,3,241
250,152,851,26.00,271.7,12,0,930,1,6,0,2,324,1.00,3,241
260,199,878,32.00,284.4,15,0,930,1,6,0,3,594,1.00,3,241
270,235,811,32.00,297.1,15,0,1130,1,6,1,4,864,1.00,3,241
280,310,1483,32.00,309.8,15,0,1130,1,6,1,5,918,1.00,3,241
290,248,1025,32.00,309.8,15,0,1130,1,6,1,6,1048,1.00,3,359
300,182,651,32.00,335.2,15,0,1130,1,6,1,7,1318,1.00,3,359
310,181,1076,36.00,335.2,17,0,1130,1,6,1,9,1492,1.00,3,359
320,137,704,36.00,355.2,17,0,1130,1,6,1,9,1492,1.00,3,359
330,121,515,38.00,380.6,18,0,1280,2,6,1,11,1882,1.00,3,359
340,162,617,38.00,380.6,18,0,1280,2,6,1,13,2122,1.00,3,359
350,177,0,40.00,380.6,19,0,1280,2,6,1,13,2122,0.77,3,359
360,226,356,40.00,393.3,19,0,1480,2,6,2,17,2696,1.00,3,359
370,227,590,40.00,418.7,19,0,1480,2,6,2,18,2816,1.00,3,359
380,222,579,40.00,418.7,19,0,1480,2,6,2,21,3336,1.00,3,359
390,205,735,40.00,438.7,19,0,1480,2,6,2,24,3574,1.00,3,359
400,129,1167,42.00,438.7,20,0,1480,2,6,2,26,3814,1.00,3,359
410,0,407,42.00,458.7,20,0,1480,2,6,2,27,3934,0.67,3,359
420,16,920,42.00,485.0,20,0,1480,2,6,2,30,4604,1.00,3,359
430,15,777,44.00,501.4,21,0,1480,2,6,2,32,4778,1.00,3,359
440,54,1061,44.00,511.4,21,0,1480,2,6,2,34,5178,1.00,3,359
450,49,714,44.00,524.1,21,0,1480,2,6,2,35,5298,1.00,3,359
460,24,115,44.00,524.1,21,0,1480,2,6,2,37,5838,1.00,3,359
470,33,1032,44.00,524.1,21,0,1680,2,6,3,40,6348,1.00,3,359
480,80,1640,46.00,549.5,22,0,1680,2,6,3,43,6662,1.00,3,359
490,86,1498,46.00,562.2,22,0,1680,2,6,3,45,7062,1.00,3,445
500,91,1539,46.00,562.2,22,0,1680,2,6,3,48,7592,1.00,3,445
510,17,524,46.00,562.2,22,0,1680,2,6,3,50,7992,1.00,3,445
520,38,724,46.00,562.2,22,0,1680,2,6,3,52,8532,1.00,3,445
530,8,189,46.00,562.2,22,0,1680,2,6,3,54,8922,1.00,3,445
540,49,1181,46.00,562.2,22,0,1680,2,6,3,58,9562,1.00,3,445
550,22,936,46.00,562.2,22,0,1680,2,6,3,60,9952,1.00,3,445
560,15,723,46.00,562.2,22,0,1680,2,6,3,61,10082,1.00,3,445
570,46,758,46.00,562.2,22,0,1680,2,6,3,64,10892,1.00,3,445
580,69,1081,46.00,562.2,22,0,1680,2,6,3,66,11282,1.00,3,445
590,35,565,46.00,562.2,22,0,1680,2,6,3,68,11682,1.00,3,445
600,9,144,46.00,562.2,22,0,1680,2,6,3,71,12352,0.98,3,445
