t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,968,721,4.00,30.0,1,0,300,0,0,0,0,0,1.00,5,75
20,946,774,4.00,42.7,1,0,300,0,0,0,0,0,1.00,5,75
30,782,700,4.00,55.4,1,0,300,0,0,0,0,0,1.00,5,75
40,511,409,4.00,55.4,1,0,300,0,0,0,0,0,1.00,5,75
50,365,255,4.00,55.4,1,0,450,1,0,0,0,0,1.00,5,75
60,263,146,4.00,75.4,1,0,450,1,0,0,0,0,1.00,5,75
70,215,26,4.00,88.1,1,0,450,1,0,0,0,0,1.00,5,75
80,163,57,4.00,98.1,1,0,540,1,1,0,0,0,1.00,5,75
90,126,145,4.00,110.8,1,0,540,1,1,0,0,0,1.00,5,75
100,111,380,6.00,115.8,2,0,630,1,2,0,0,0,1.00,5,75
110,70,180,6.00,120.8,2,0,630,1,2,0,0,0,1.00,5,75
120,50,171,8.00,130.8,3,0,720,1,3,0,0,0,1.00,5,75
130,26,125,8.00,130.8,3,0,720,1,3,0,0,0,1.00,5,75
140,25,153,10.00,130.8,4,0,720,1,3,0,0,0,1.00,5,75
150,100,708,12.00,140.8,5,0,810,1,4,0,0,0,1.00,5,75
160,90,470,14.00,140.8,6,0,810,1,4,0,0,0,1.00,5,75
170,106,365,14.00,140.8,6,0,810,1,4,0,0,0,1.00,5,75
180,103,101,18.00,163.5,8,0,900,1,5,0,0,0,1.00,5,75
190,124,304,21.00,163.5,10,0,900,1,5,0,1,110,1.00,5,75
200,193,569,22.00,169.8,10,0,900,1,5,0,1,110,1.00,5,75
210,235,281,24.00,176.2,11,0,900,1,5,0,1,110,1.00,5,75
220,259,0,25.00,206.2,12,0,990,1,6,0,1,110,0.95,5,75
230,320,174,28.00,206.2,13,0,990,1,6,0,2,335,1.00,5,75
240,247,292,30.00,238.9,14,0,990,1,6,0,2,335,1.00,5,75
250,133,185,30.00,268.9,14,0,990,1,6,0,2,335,1.00,5,75
260,236,405,32.00,278.9,15,0,990,1,6,0,3,560,1.00,5,75
270,348,758,36.00,291.6,17,0,990,1,6,0,3,560,1.00,5,75
280,461,1350,36.00,304.3,17,0,990,1,6,0,4,800,1.00,5,75
290,393,1654,36.00,304.3,17,0,1190,1,6,1,5,910,1.00,5,395
300,328,1130,38.00,337.0,18,0,1190,1,6,1,5,910,1.00,5,395
310,334,1382,40.00,337.0,19,0,1190,1,6,1,6,1150,1.00,5,395
320,274,1535,40.00,349.7,19,0,1190,1,6,1,7,1390,1.00,5,395
330,280,1725,40.00,369.7,19,0,1340,2,6,1,8,1630,1.00,5,519
340,285,1258,40.00,402.4,19,0,1340,2,6,1,9,1870,1.00,5,519
350,238,511,42.00,415.1,20,0,1340,2,6,1,10,2070,1.00,5,519
360,324,1303,44.00,427.8,21,0,1340,2,6,1,13,2620,1.00,5,519
370,292,159,44.00,465.9,21,0,1340,2,6,1,13,2620,1.00,5,519
380,337,160,46.00,465.9,22,0,1340,2,6,1,16,3195,1.00,5,519
390,353,247,46.00,478.6,22,0,1540,2,6,2,17,3420,1.00,5,519
400,353,255,46.00,504.0,22,0,1540,2,6,2,18,3645,1.00,5,519
410,286,344,46.00,516.7,22,0,1540,2,6,2,21,4335,1.00,5,519
420,222,347,46.00,529.4,22,0,1540,2,6,2,23,4670,1.00,5,519
430,199,392,46.00,549.4,22,0,1540,2,6,2,25,5110,1.00,5,519
440,185,556,46.00,549.4,22,0,1540,2,6,2,26,5335,1.00,5,519
450,220,1123,46.00,549.4,22,0,1540,2,6,2,28,5785,1.00,5,519
460,250,1121,46.00,562.1,22,0,1540,2,6,2,30,6135,1.00,5,519
470,277,670,46.00,562.1,22,0,1740,2,6,3,32,6615,1.00,5,519
480,288,583,46.00,562.1,22,1,1740,2,6,3,35,7215,1.00,5,519
490,220,535,46.00,574.8,22,1,1740,2,6,3,37,7640,1.00,5,519
500,221,1426,46.00,574.8,22,1,1740,2,6,3,39,7975,1.00,5,519
510,201,1578,47.00,587.5,22,1,1740,2,6,3,41,8440,1.00,5,519
520,164,1251,46.00,587.5,22,1,1740,2,6,3,43,8865,1.00,5,552
530,171,1729,47.00,587.5,22,1,1740,2,6,3,46,9555,1.00,5,559
540,88,1182,46.00,587.5,22,1,1740,2,6,3,48,9955,1.00,5,559
550,68,1197,46.00,587.5,22,1,1740,2,6,3,50,10435,1.00,5,559
560,11,1388,46.00,587.5,22,1,1740,2,6,3,53,11100,0.88,5,559
570,0,1472,46.64,587.5,22,1,1740,2,6,3,54,11300,0.94,5,559
580,39,1794,47.00,587.5,22,1,1740,2,6,3,57,11965,1.00,5,559
590,38,1831,47.00,587.5,22,1,1740,2,6,3,59,12390,1.00,5,559
600,3,1496,47.00,587.5,22,1,1740,2,6,3,62,13040,0.85,5,559
