t,rec_metal_income,sim_metal_income,rec_energy_income,sim_energy_income,rec_extractors,sim_extractors,rec_army_value,sim_army_value,rec_losses
10,2.00,2.00,30.0,42.7,0,0,0,0,0
20,2.00,2.00,41.7,42.1,0,0,0,0,0
30,2.00,2.00,53.5,52.7,0,0,0,0,0
40,2.00,2.00,55.8,56.1,0,0,0,0,0
50,2.00,2.00,60.0,58.9,0,0,0,0,0
60,2.00,2.00,81.7,80.3,0,0,0,0,0
70,2.00,2.00,91.1,89.6,0,0,0,0,0
80,4.00,4.00,98.0,98.0,1,1,43,43,0
90,4.00,4.00,98.0,98.0,1,1,86,86,0
100,6.00,6.00,98.0,98.0,2,2,86,86,0
110,6.00,6.00,130.4,114.9,2,2,86,86,0
120,6.00,6.00,139.0,139.0,2,2,196,86,0
130,6.00,6.00,137.9,137.9,2,2,196,196,0
140,6.00,6.00,139.0,139.0,2,2,306,306,0
150,6.00,6.00,139.0,139.0,2,2,349,349,0
160,6.00,6.00,135.2,135.2,2,2,392,392,0
170,6.00,6.00,139.0,139.0,2,2,392,392,0
180,8.00,6.00,139.0,139.0,3,2,392,392,0
190,6.00,8.00,143.7,136.7,2,3,392,392,1
200,7.00,8.69,146.0,146.0,2,3,392,392,1
210,26.40,8.82,146.0,146.0,2,3,502,502,1
220,7.00,8.77,145.8,145.8,2,3,502,502,1
230,7.00,8.00,145.9,146.0,2,3,502,612,1
240,6.60,9.00,146.0,145.9,2,4,612,655,1
250,8.00,12.00,139.9,140.5,3,5,655,698,1
260,10.00,12.00,156.3,133.1,4,5,698,698,1
270,10.60,12.71,162.6,162.1,4,5,698,698,1
280,11.30,12.53,180.0,187.0,4,5,698,698,1
290,10.00,12.53,186.7,186.8,4,5,698,808,1
300,10.00,14.00,186.8,186.6,4,6,808,808,1
310,11.00,14.78,167.4,170.9,4,6,808,918,1
320,11.00,14.00,165.2,164.8,4,6,918,961,1
330,12.40,15.06,189.8,188.8,5,6,961,1004,1
340,13.70,16.74,220.4,202.1,5,7,1004,1004,1
350,15.60,16.93,246.4,229.4,5,7,1004,1004,2
360,12.20,16.43,247.9,261.9,5,7,1004,1114,4
370,12.00,18.11,250.3,257.4,5,7,1004,1114,6
380,13.80,16.00,255.0,262.0,5,7,1114,1224,6
390,13.80,17.27,255.0,262.0,5,7,1224,1267,6
400,12.90,20.54,268.0,275.8,5,8,1267,1310,7
410,14.10,18.44,258.5,269.0,5,8,1310,1310,7
420,12.50,19.19,200.8,218.7,5,8,1310,1310,7
430,15.80,19.71,248.6,254.6,6,8,1310,1310,9
440,16.80,22.23,305.8,302.9,6,9,1310,1420,10
450,14.40,22.78,298.8,319.7,6,9,1420,1530,13
460,14.00,20.00,223.7,259.8,6,9,1530,1573,13
470,16.00,20.00,143.0,166.7,7,9,1573,1616,13
480,16.00,20.00,92.9,117.3,7,9,1616,1616,13
490,16.00,20.00,89.0,113.5,7,9,1616,1616,13
500,14.00,20.00,119.1,122.4,6,9,1616,1616,14
510,14.00,20.00,131.8,157.8,6,9,1616,1726,22
520,14.00,20.00,148.9,173.8,6,9,1726,1836,29
530,12.00,20.27,171.4,193.6,4,9,1836,1879,32
540,11.00,21.32,185.8,211.1,4,9,1879,1922,33
550,10.60,20.63,159.5,193.8,4,9,1922,1922,33
560,10.00,20.32,126.4,157.9,4,9,1922,1922,33
570,10.00,20.00,133.1,171.3,4,9,1922,1965,33
580,9.00,20.00,179.2,205.1,4,9,1965,2118,33
590,10.00,21.63,230.0,259.0,4,9,2118,2228,33
600,10.00,21.95,207.8,237.6,4,9,2228,2271,34
