# median over 42 matches; 'own' is our bot, 'enemy' the opponent; n = matches still alive at that minute
side,minute,n,mex,cons,lab,nano,turret,army,army_metal
own,1,42,1,0,0,0,0,0,0
own,2,42,2,1,1,0,0.5,2,108
own,3,42,2,2,1,0,2,6,392
own,4,42,3,2,1,0,3,8,627
own,5,42,5,3,1,0,4,10,762
own,6,42,6,3.5,1,0,6,12.5,990
own,7,42,7,4,1,0,7,15,1230
own,8,42,7.5,4,2,0,7,15,1401
own,9,42,7.5,4.5,2,0,7,15.5,1568.5
own,10,42,9,6,3,0,8,18,1735.5
enemy,1,42,2,0,0,0,0,0,0
enemy,2,42,3,1,1,0,1,1,110
enemy,3,42,4,1,1,0,2,5,324.5
enemy,4,42,4,1,1,0,3,8,632
enemy,5,42,5,1.5,1,1,5,11,963
enemy,6,42,5,2,1,1,5,14,1304.5
enemy,7,42,6,2,1,1,6,17,1558.5
enemy,8,42,7,2,1,1,7,19,1816.5
enemy,9,42,7,3,1,1,8.5,21.5,2148
enemy,10,42,7,3,1,1,9,26,2541.5
