# median over 24 matches; 'own' is our bot, 'enemy' the opponent; n = matches still alive at that minute
side,minute,n,mex,cons,lab,nano,turret,army,army_metal
own,1,24,1,0,0.5,0,0,0,0
own,2,24,2,1,1,0,1,2,108
own,3,24,2,1,1,0,2,6,392
own,4,24,3,2,1,0,3,8,648.5
own,5,24,4,3,1,0,5,10,750
own,6,24,7,3,1,0,6,13,1004
own,7,24,8,4,1,0,7,16,1267
own,8,24,9,5,2,0,7,16.5,1422.5
own,9,24,10,6,3,0,8,15,1438.5
own,10,24,10,8,3,0,8,18,1735.5
enemy,1,24,2,0,0,0,0,0,0
enemy,2,24,2,1,1,0,1,1,110
enemy,3,24,3,1,1,0,2,5,324.5
enemy,4,24,4,1.5,1,0,3,7.5,610.5
enemy,5,24,4.5,1.5,1,0.5,4.5,9.5,901.5
enemy,6,24,5.5,2,1,1,6,12.5,1181.5
enemy,7,24,6,2,1,1,7,15,1569.5
enemy,8,24,7,2,1,1,8,18.5,1876.5
enemy,9,24,6.5,2,1,1,9,20,2112
enemy,10,24,6.5,2,1,1,7,25,2479
