t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,967,722,4.00,30.0,1,0,300,0,0,0,0,0,1.00,5,75
20,949,799,4.00,42.7,1,0,300,0,0,0,0,0,1.00,5,75
30,834,876,4.00,55.4,1,0,300,0,0,0,0,0,1.00,5,75
40,592,770,4.00,55.4,1,0,300,0,0,0,0,0,1.00,5,75
50,507,552,4.00,55.4,1,0,450,1,0,0,0,0,1.00,5,75
60,444,388,4.00,68.1,1,0,450,1,0,0,0,0,1.00,5,75
70,330,476,4.00,95.1,1,0,535,1,1,0,0,0,1.00,5,75
80,296,417,4.00,95.1,1,0,535,1,1,0,0,0,1.00,5,75
90,208,319,6.00,95.1,2,0,535,1,1,0,0,0,1.00,5,75
100,138,712,6.00,122.1,2,0,620,1,2,0,0,0,1.00,5,75
110,125,906,6.00,122.1,2,0,620,1,2,0,0,0,1.00,5,75
120,118,1217,6.00,129.1,2,0,705,1,3,0,0,0,1.00,5,75
130,138,1352,8.00,129.1,3,0,705,1,3,0,0,0,1.00,5,351
140,89,993,10.00,129.1,4,0,705,1,3,0,0,0,1.00,5,410
150,91,1225,10.00,136.1,4,0,790,1,4,0,0,0,1.00,5,410
160,111,1373,12.00,148.8,5,0,790,1,4,0,0,0,1.00,5,524
170,139,1452,14.00,168.5,6,0,875,1,5,0,0,0,1.00,5,716
180,162,1452,14.00,168.5,6,0,875,1,5,0,0,0,1.00,5,1104
190,95,1261,16.00,181.2,7,0,875,1,5,0,0,0,1.00,5,1176
200,110,1504,18.00,200.9,8,0,960,1,6,0,0,0,1.00,5,1349
210,64,1276,18.00,200.9,8,0,960,1,6,0,1,110,1.00,5,1478
220,28,1079,22.00,220.9,10,0,960,1,6,0,1,110,1.00,5,1478
230,99,1554,24.00,233.6,11,0,960,1,6,0,2,250,1.00,5,1503
240,119,1384,24.00,233.6,11,0,960,1,6,0,3,390,1.00,5,1686
250,108,1005,26.00,233.6,12,0,960,1,6,0,4,530,1.00,5,1686
260,184,1328,28.00,246.3,13,0,1160,1,6,1,5,670,1.00,5,1686
270,134,857,30.00,246.3,14,0,1160,1,6,1,7,950,1.00,5,1686
280,175,1006,32.00,259.0,15,0,1160,1,6,1,8,1090,1.00,5,1686
290,153,610,32.00,259.0,15,0,1160,1,6,1,9,1230,1.00,5,1686
300,119,353,34.00,279.0,16,0,1160,1,6,1,11,1510,1.00,5,1686
310,113,115,34.00,291.7,16,0,1160,1,6,1,12,1620,1.00,5,1686
320,140,171,34.00,291.7,16,0,1160,1,6,1,14,1870,1.00,5,1686
330,135,246,34.00,317.1,16,0,1160,1,6,1,15,2010,1.00,5,1686
340,48,374,34.00,317.1,16,0,1160,1,6,1,17,2193,1.00,5,1686
350,19,664,34.00,337.1,16,0,1510,2,6,2,19,2473,1.00,5,1686
360,5,421,36.00,349.8,17,0,1510,2,6,2,21,2723,0.85,5,1686
370,0,386,36.00,349.8,17,0,1510,2,6,2,23,2973,0.61,5,1686
380,10,634,36.00,387.9,17,0,1510,2,6,2,25,3223,1.00,5,1686
390,6,858,36.00,387.9,17,0,1510,2,6,2,28,3613,1.00,5,1686
400,12,1162,36.00,400.6,17,0,1510,2,6,2,31,4003,0.95,5,1686
410,0,1311,38.00,413.3,18,0,1510,2,6,2,32,4143,0.72,5,1686
420,34,1642,40.00,413.3,19,0,1510,2,6,2,35,4563,1.00,5,1793
430,17,1570,40.00,413.3,19,0,1510,2,6,2,37,4843,1.00,5,1793
440,27,1646,40.00,413.3,19,0,1510,2,6,2,40,5263,1.00,5,1903
450,34,1317,40.00,413.3,19,0,1510,2,6,2,43,5623,1.00,5,1903
460,3,946,44.00,426.0,21,0,1510,2,6,2,45,5903,0.99,5,1903
470,38,1158,44.00,426.0,21,0,1710,2,6,3,48,6293,1.00,5,1903
480,22,1143,44.00,438.7,21,0,1710,2,6,3,51,6713,1.00,5,1903
490,52,1286,44.00,438.7,21,0,1710,2,6,3,54,7103,1.00,5,1903
500,66,1274,44.00,438.7,21,0,1710,2,6,3,57,7493,1.00,5,1903
510,43,1189,44.00,438.7,21,0,1710,2,6,3,61,8053,1.00,5,1903
520,53,1081,46.00,438.7,22,0,1710,2,6,3,63,8303,1.00,5,1903
530,108,1235,46.00,438.7,22,0,1710,2,6,3,67,8833,1.00,5,1903
540,118,1266,46.00,438.7,22,0,1710,2,6,3,70,9253,1.00,5,1903
550,138,1379,46.00,438.7,22,0,1710,2,6,3,73,9673,1.00,5,1903
560,122,1325,46.00,438.7,22,0,1710,2,6,3,76,10093,1.00,5,1903
570,130,1489,46.00,451.4,22,0,1710,2,6,3,80,10653,1.00,5,1903
580,140,1600,46.00,451.4,22,0,1710,2,6,3,82,10933,1.00,5,1951
590,90,955,46.00,451.4,22,0,1710,2,6,3,86,11463,1.00,5,2014
600,0,291,46.00,451.4,22,0,1710,2,6,3,91,12163,0.79,5,2014
