t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
10,966,1000,2.00,42.7,0,0,300,0,0,0,0,0,1.00,3,125
20,924,1001,2.00,55.4,0,0,300,0,0,0,0,0,1.00,3,362
30,807,945,2.00,68.1,0,0,300,0,0,0,0,0,1.00,3,673
40,524,803,2.00,68.1,0,0,300,0,0,0,0,0,1.00,3,673
50,377,783,2.00,68.1,0,0,450,1,0,0,0,0,1.00,3,673
60,195,717,2.00,78.1,0,0,450,1,0,0,0,0,1.00,3,673
70,116,336,4.00,88.1,1,0,450,1,0,0,0,0,1.00,3,673
80,98,465,4.00,98.1,1,0,545,1,1,0,0,0,1.00,3,673
90,58,265,6.00,98.1,2,0,545,1,1,0,0,0,1.00,3,673
100,40,174,6.00,98.1,2,0,545,1,1,0,0,0,1.00,3,673
110,30,258,6.00,108.1,3,0,640,1,2,0,0,0,1.00,3,673
120,41,331,8.00,108.1,3,0,640,1,2,0,0,0,1.00,3,673
130,30,44,10.00,108.1,4,0,640,1,2,0,0,0,1.00,3,673
140,40,0,10.00,118.1,4,0,735,1,3,0,0,0,0.84,3,673
150,44,10,12.00,118.1,5,0,735,1,3,0,0,0,1.00,3,673
160,7,336,14.00,128.1,6,0,735,1,3,0,0,0,1.00,3,673
170,67,600,14.00,148.1,6,0,830,1,4,0,0,0,1.00,3,673
180,26,300,14.00,148.1,6,0,830,1,4,0,0,0,1.00,3,673
190,29,424,18.00,160.8,8,0,830,1,4,0,0,0,1.00,3,673
200,0,1158,20.00,170.8,9,0,925,1,5,0,0,0,0.69,3,673
210,41,1552,20.00,210.8,9,0,925,1,5,0,0,0,1.00,3,681
220,15,1552,22.00,210.8,10,0,925,1,5,0,0,0,1.00,3,1004
230,72,1652,24.00,253.5,11,0,1020,1,6,0,0,0,1.00,3,1706
240,106,1654,26.00,278.9,12,0,1020,1,6,0,0,0,1.00,3,2335
250,199,1654,28.00,278.9,13,0,1020,1,6,0,1,170,1.00,3,3350
260,161,1016,29.00,311.6,14,0,1020,1,6,0,1,170,1.00,3,3406
270,158,491,30.00,311.6,14,0,1220,1,6,1,1,170,1.00,3,3406
280,181,831,32.00,324.3,15,0,1220,1,6,1,2,405,1.00,3,3406
290,151,928,34.00,337.0,16,0,1220,1,6,1,3,640,1.00,3,3406
300,152,1254,34.00,362.4,16,0,1220,1,6,1,4,860,1.00,3,3406
310,122,1355,34.00,362.4,17,0,1220,1,6,1,5,980,1.00,3,3406
320,8,1315,40.00,382.4,19,0,1220,1,6,1,6,1150,1.00,3,3406
330,74,1757,40.00,407.8,19,0,1220,1,6,1,7,1370,1.00,3,3437
340,109,1530,40.00,407.8,19,0,1370,2,6,1,8,1590,1.00,3,3925
350,22,944,40.00,427.8,19,0,1370,2,6,1,9,1810,1.00,3,3925
360,40,1226,40.00,440.5,19,0,1370,2,6,1,11,2250,1.00,3,3925
370,75,1908,42.00,465.9,20,0,1370,2,6,1,12,2370,1.00,3,3978
380,99,1864,42.00,465.9,20,0,1370,2,6,1,14,2825,1.00,3,4518
390,144,1960,42.00,511.3,20,0,1370,2,6,1,15,3045,1.00,3,4770
400,161,1895,42.00,511.3,20,0,1370,2,6,1,16,3265,1.00,3,5087
410,58,1080,42.00,536.7,20,0,1370,2,6,1,18,3720,1.00,3,5087
420,41,903,44.00,549.4,21,0,1370,2,6,1,19,3940,1.00,3,5087
430,72,1180,44.00,549.4,21,0,1370,2,6,1,21,4395,1.00,3,5087
440,88,1075,44.00,562.1,21,0,1370,2,6,1,22,4615,1.00,3,5087
450,131,1190,46.00,562.1,22,0,1570,2,6,2,24,5055,1.00,3,5087
460,203,1962,46.00,562.1,22,0,1570,2,6,2,26,5510,1.00,3,5226
470,150,1259,46.00,562.1,22,0,1570,2,6,2,27,5730,1.00,3,5226
480,125,759,46.00,581.1,22,0,1570,2,6,2,30,6405,1.00,3,5226
490,136,747,46.00,587.5,22,0,1770,2,6,3,31,6625,1.00,3,5226
500,131,1145,46.00,587.5,22,0,1770,2,6,3,34,7315,1.00,3,5226
510,56,556,46.00,587.5,22,0,1770,2,6,3,35,7550,1.00,3,5226
520,32,455,46.00,587.5,22,0,1770,2,6,3,37,7990,1.00,3,5226
530,78,1399,46.00,587.5,22,0,1770,2,6,3,40,8695,1.00,3,5226
540,28,1097,46.00,587.5,22,0,1770,2,6,3,41,8915,1.00,3,5226
550,41,1388,46.00,587.5,22,0,1770,2,6,3,44,9605,1.00,3,5226
560,23,1112,46.00,587.5,22,0,1770,2,6,3,46,10060,1.00,3,5226
570,3,657,46.00,587.5,22,0,1770,2,6,3,48,10500,0.86,3,5226
580,30,1071,46.00,587.5,22,0,1770,2,6,3,50,10940,1.00,3,5226
590,65,1948,46.00,587.5,22,0,1770,2,6,3,52,11410,1.00,3,5226
600,2,1110,46.00,587.5,22,0,1770,2,6,3,55,12085,0.88,3,5226
