run,t,metal,energy,metal_income,energy_income,extractors,converters,build_power,factories,constructors,nanos,army_count,army_value,stall,metal_wasted,energy_wasted
arm-lab-nw-income-3min-wind13-detour1.05-2fac-nano,180,908,1300,20.00,84.0,9,0,610,1,2,0,0,0,1.00,3,2098
arm-lab-nw-income-5min-wind13-detour1.05-2fac-nano,180,199,1502,14.00,150.1,6,0,930,1,6,0,0,0,1.00,5,529
arm-lab-nw-income-5min-wind13-detour1.05-2fac-nano,300,2100,1239,43.95,196.5,20,2,930,1,9,0,0,0,1.00,560,557
arm-lab-nw-income-8min-wind13-detour1.05-2fac-nano,180,242,754,12.00,150.4,5,2,850,1,5,0,0,0,1.00,5,557
arm-lab-nw-income-8min-wind13-detour1.05-2fac-nano,300,56,1080,26.00,263.8,12,5,1130,1,9,1,1,270,1.00,5,557
arm-lab-nw-income-8min-wind13-detour1.05-2fac-nano,480,2200,2352,53.00,560.5,22,7,1130,1,21,1,4,724,1.00,1724,557
arm-lab-nw-income-10min-wind13-detour1.05-2fac-nano,180,278,309,14.00,161.2,6,1,850,1,5,0,0,0,1.00,5,919
arm-lab-nw-income-10min-wind13-detour1.05-2fac-nano,300,139,1540,21.32,316.2,9,5,1080,2,10,0,1,54,1.00,5,919
arm-lab-nw-income-10min-wind13-detour1.05-2fac-nano,480,188,2590,38.79,628.6,17,9,1480,2,31,2,9,1072,1.00,5,919
arm-lab-nw-income-10min-wind13-detour1.05-2fac-nano,600,2300,3409,57.00,839.3,22,11,1480,2,45,2,14,1832,1.00,379,919
arm-lab-nw-army-3min-wind13-detour1.05-2fac-nano,180,0,95,6.00,93.5,2,0,450,1,0,0,8,1074,1.00,3,141
arm-lab-nw-army-5min-wind13-detour1.05-2fac-nano,180,46,533,10.00,120.8,4,0,450,1,0,0,4,790,1.00,5,1165
arm-lab-nw-army-5min-wind13-detour1.05-2fac-nano,300,1,6,12.00,146.2,5,0,450,1,0,0,14,2224,0.79,5,1165
arm-lab-nw-army-8min-wind13-detour1.05-2fac-nano,180,153,1393,16.00,206.3,7,0,930,1,6,0,0,0,1.00,3,241
arm-lab-nw-army-8min-wind13-detour1.05-2fac-nano,300,149,384,34.00,327.9,16,0,1130,1,6,1,8,1654,1.00,3,1651
arm-lab-nw-army-8min-wind13-detour1.05-2fac-nano,480,0,5,40.00,482.2,19,0,1480,2,6,2,37,7354,0.92,3,1892
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nano,180,137,1502,16.00,175.5,7,0,930,1,6,0,0,0,1.00,3,656
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nano,300,92,1477,34.00,306.3,16,0,1280,2,6,1,7,1104,1.00,3,2458
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nano,480,179,537,42.00,531.4,20,0,1680,2,6,3,34,6748,1.00,3,2460
arm-lab-nw-army-10min-wind13-detour1.05-2fac-nano,600,23,126,46.00,569.5,22,0,1680,2,6,3,63,12160,0.95,3,2460
arm-lab-nw-mix-3min-wind13-detour1.05-2fac-nano,180,160,47,16.00,102.1,7,0,610,1,2,0,6,730,1.00,3,241
arm-lab-nw-mix-5min-wind13-detour1.05-2fac-nano,180,244,1451,16.00,162.8,7,0,930,1,6,0,0,0,1.00,3,438
arm-lab-nw-mix-5min-wind13-detour1.05-2fac-nano,300,1841,170,42.00,202.8,20,0,930,1,6,0,7,1150,1.00,3,438
arm-lab-nw-mix-8min-wind13-detour1.05-2fac-nano,180,130,160,18.00,155.5,8,0,930,1,6,0,0,0,1.00,3,241
arm-lab-nw-mix-8min-wind13-detour1.05-2fac-nano,300,64,521,30.00,311.7,15,0,1130,1,6,1,7,1384,1.00,3,241
arm-lab-nw-mix-8min-wind13-detour1.05-2fac-nano,480,166,214,46.00,482.5,22,0,1330,1,6,2,37,6744,1.00,3,383
arm-lab-nw-mix-10min-wind13-detour1.05-2fac-nano,180,127,1441,16.00,181.2,7,0,850,1,5,0,1,54,1.00,3,836
arm-lab-nw-mix-10min-wind13-detour1.05-2fac-nano,300,150,410,34.00,331.7,16,0,1130,1,6,1,8,1512,1.00,3,836
