faction,minute,matches,group,unit,mean_count,metal_each,tech
Armada,15,48,mobile,armcom,1.0,2700,1
Armada,15,48,mobile,armham,9.229,130,1
Armada,15,48,static,armllt,11.583,85,1
Armada,15,48,mobile,armrock,7.75,120,1
Armada,15,48,mobile,armwar,1.833,270,1
Armada,15,48,static,armlab,0.792,500,1
Armada,15,48,mobile,armpw,7.271,54,1
Armada,15,48,mobile,armjanus,1.625,240,1
Armada,15,48,mobile,armstump,1.667,225,1
Armada,15,48,mobile,armck,2.958,110,1
Armada,15,48,mobile,armrectr,2.458,130,1
Armada,15,48,static,armhlt,0.667,440,1
Armada,15,48,static,armbeamer,1.542,190,1
Armada,15,48,mobile,armcv,1.354,135,1
Armada,15,48,mobile,armflash,1.479,110,1
Armada,15,48,static,armvp,0.208,590,1
Armada,15,48,mobile,corthud,0.583,140,1
Armada,15,48,static,armrl,1.0,80,1
Armada,15,48,mobile,armart,0.583,135,1
Armada,15,48,static,armguard,0.042,1250,1
Armada,15,48,mobile,corck,0.25,120,1
Armada,15,48,mobile,armsam,0.188,150,1
Armada,15,48,mobile,corak,0.583,43,1
Armada,15,48,mobile,armflea,1.146,21,1
Armada,15,48,mobile,armfav,0.208,31,1
Armada,15,48,mobile,armpincer,0.021,200,1
Armada,15,48,mobile,corstorm,0.021,110,1
Armada,20,31,mobile,armcom,1.0,2700,1
Armada,20,31,mobile,armwar,4.742,270,1
Armada,20,31,static,armllt,13.548,85,1
Armada,20,31,mobile,armrock,8.29,120,1
Armada,20,31,mobile,armham,7.484,130,1
Armada,20,31,static,armhlt,1.581,440,1
Armada,20,31,static,armalab,0.258,2600,2
Armada,20,31,mobile,armpw,9.097,54,1
Armada,20,31,static,armlab,0.839,500,1
Armada,20,31,mobile,armck,3.774,110,1
Armada,20,31,mobile,armrectr,3.161,130,1
Armada,20,31,static,armbeamer,2.097,190,1
Armada,20,31,mobile,armstump,1.516,225,1
Armada,20,31,mobile,armjanus,1.323,240,1
Armada,20,31,mobile,corthud,1.29,140,1
Armada,20,31,mobile,armfido,0.613,285,2
Armada,20,31,static,armavp,0.065,2600,2
Armada,20,31,mobile,armack,0.323,430,2
Armada,20,31,mobile,armcv,1.0,135,1
Armada,20,31,mobile,armacv,0.226,550,2
Armada,20,31,static,armvp,0.161,590,1
Armada,20,31,static,armrl,1.0,80,1
Armada,20,31,mobile,armflash,0.71,110,1
Armada,20,31,mobile,corck,0.548,120,1
Armada,20,31,mobile,armmerl,0.065,920,2
Armada,20,31,mobile,corak,1.355,43,1
Armada,20,31,static,armguard,0.032,1250,1
Armada,20,31,mobile,armmanni,0.032,1200,2
Armada,20,31,mobile,armflea,1.71,21,1
Armada,20,31,mobile,armart,0.194,135,1
Armada,20,31,mobile,armsam,0.129,150,1
Armada,20,31,static,corllt,0.129,90,1
Armada,20,31,mobile,corstorm,0.065,110,1
Armada,20,31,mobile,armpincer,0.032,200,1
Armada,20,31,mobile,armfav,0.194,31,1
Armada,20,31,mobile,armjeth,0.032,125,1
Armada,25,23,mobile,armcom,1.0,2700,1
Armada,25,23,static,armalab,0.522,2600,2
Armada,25,23,static,armllt,11.913,85,1
Armada,25,23,static,armhlt,1.87,440,1
Armada,25,23,mobile,armrock,5.957,120,1
Armada,25,23,mobile,armham,5.217,130,1
Armada,25,23,mobile,armack,1.391,430,2
Armada,25,23,mobile,armrectr,3.522,130,1
Armada,25,23,mobile,armfido,1.565,285,2
Armada,25,23,mobile,armpw,8.087,54,1
Armada,25,23,static,armbeamer,2.13,190,1
Armada,25,23,static,armlab,0.783,500,1
Armada,25,23,mobile,armacv,0.696,550,2
Armada,25,23,mobile,armck,3.348,110,1
Armada,25,23,static,armavp,0.13,2600,2
Armada,25,23,mobile,armwar,1.174,270,1
Armada,25,23,mobile,corthud,1.783,140,1
Armada,25,23,static,armflak,0.304,820,2
Armada,25,23,mobile,armaak,0.304,520,2
Armada,25,23,mobile,armstump,0.696,225,1
Armada,25,23,mobile,armflash,1.304,110,1
Armada,25,23,mobile,armcv,0.957,135,1
Armada,25,23,mobile,armmerl,0.13,920,2
Armada,25,23,mobile,armsnipe,0.174,680,2
Armada,25,23,mobile,armjanus,0.478,240,1
Armada,25,23,mobile,corck,0.87,120,1
Armada,25,23,static,armvp,0.174,590,1
Armada,25,23,static,armrl,1.0,80,1
Armada,25,23,mobile,armlatnk,0.217,330,2
Armada,25,23,mobile,corstorm,0.609,110,1
Armada,25,23,mobile,corak,1.522,43,1
Armada,25,23,static,armguard,0.043,1250,1
Armada,25,23,mobile,armmanni,0.043,1200,2
Armada,25,23,mobile,armbull,0.043,950,2
Armada,25,23,mobile,armmav,0.043,650,2
Armada,25,23,mobile,armflea,1.261,21,1
Armada,25,23,mobile,armart,0.13,135,1
Armada,25,23,mobile,armzeus,0.043,350,2
Armada,25,23,static,corllt,0.087,90,1
Armada,25,23,mobile,armseer,0.043,125,2
Armada,25,23,mobile,armfav,0.174,31,1
Armada,30,20,mobile,armcom,1.0,2700,1
Armada,30,20,static,armalab,0.6,2600,2
Armada,30,20,static,armamb,0.45,2500,2
Armada,30,20,static,armhlt,2.3,440,1
Armada,30,20,static,armllt,10.9,85,1
Armada,30,20,mobile,armack,2.0,430,2
Armada,30,20,mobile,armfido,2.1,285,2
Armada,30,20,mobile,armacv,1.0,550,2
Armada,30,20,mobile,armrock,4.2,120,1
Armada,30,20,mobile,armwar,1.85,270,1
Armada,30,20,mobile,armham,3.45,130,1
Armada,30,20,mobile,armbull,0.45,950,2
Armada,30,20,static,armlab,0.85,500,1
Armada,30,20,static,armbeamer,2.2,190,1
Armada,30,20,mobile,armck,3.35,110,1
Armada,30,20,mobile,armfboy,0.25,1400,2
Armada,30,20,mobile,armpw,6.05,54,1
Armada,30,20,mobile,armrectr,2.45,130,1
Armada,30,20,static,armguard,0.25,1250,1
Armada,30,20,static,armavp,0.1,2600,2
Armada,30,20,mobile,corthud,1.85,140,1
Armada,30,20,static,armflak,0.3,820,2
Armada,30,20,mobile,armmav,0.35,650,2
Armada,30,20,mobile,armaak,0.4,520,2
Armada,30,20,mobile,armsnipe,0.3,680,2
Armada,30,20,mobile,corck,1.0,120,1
Armada,30,20,mobile,armlatnk,0.35,330,2
Armada,30,20,mobile,armmerl,0.1,920,2
Armada,30,20,static,armvp,0.15,590,1
Armada,30,20,mobile,armcv,0.65,135,1
Armada,30,20,static,armrl,0.95,80,1
Armada,30,20,mobile,armflash,0.6,110,1
Armada,30,20,mobile,corak,1.5,43,1
Armada,30,20,mobile,armsptk,0.15,400,2
Armada,30,20,mobile,armmanni,0.05,1200,2
Armada,30,20,mobile,armjanus,0.15,240,1
Armada,30,20,mobile,armzeus,0.1,350,2
Armada,30,20,mobile,armstump,0.15,225,1
Armada,30,20,mobile,corstorm,0.3,110,1
Armada,30,20,mobile,armflea,0.85,21,1
Armada,30,20,static,corllt,0.1,90,1
Armada,30,20,mobile,armfav,0.15,31,1
Cortex,15,41,mobile,corcom,0.976,2700,1
Cortex,15,41,mobile,corstorm,13.707,110,1
Cortex,15,41,mobile,corthud,8.634,140,1
Cortex,15,41,static,corllt,9.707,90,1
Cortex,15,41,static,corlab,0.78,470,1
Cortex,15,41,mobile,corak,7.61,43,1
Cortex,15,41,mobile,corck,2.366,120,1
Cortex,15,41,mobile,cornecro,2.098,130,1
Cortex,15,41,mobile,corraid,1.0,235,1
Cortex,15,41,static,corhlt,0.415,480,1
Cortex,15,41,static,corhllt,1.0,195,1
Cortex,15,41,mobile,corgator,1.22,120,1
Cortex,15,41,mobile,corcv,0.976,145,1
Cortex,15,41,static,corvp,0.195,570,1
Cortex,15,41,mobile,corwolv,0.585,170,1
Cortex,15,41,static,corrl,0.976,80,1
Cortex,15,41,mobile,cormuskrat,0.366,170,1
Cortex,15,41,mobile,corlevlr,0.268,220,1
Cortex,15,41,mobile,armham,0.293,130,1
Cortex,15,41,mobile,armck,0.146,110,1
Cortex,15,41,mobile,armpw,0.244,54,1
Cortex,15,41,mobile,corgarp,0.049,220,1
Cortex,15,41,static,corexp,0.024,240,1
Cortex,15,41,mobile,corfav,0.22,26,1
Cortex,15,41,static,armllt,0.024,85,1
Cortex,20,36,mobile,corcom,1.0,2700,1
Cortex,20,36,mobile,corstorm,13.944,110,1
Cortex,20,36,mobile,corthud,9.083,140,1
Cortex,20,36,static,corllt,12.583,90,1
Cortex,20,36,static,corhlt,1.333,480,1
Cortex,20,36,mobile,corraid,2.083,235,1
Cortex,20,36,mobile,corck,3.083,120,1
Cortex,20,36,mobile,cornecro,2.833,130,1
Cortex,20,36,static,corhllt,1.889,195,1
Cortex,20,36,static,corlab,0.75,470,1
Cortex,20,36,static,corpun,0.222,1300,1
Cortex,20,36,static,coralab,0.111,2600,2
Cortex,20,36,mobile,corak,5.833,43,1
Cortex,20,36,mobile,corcv,1.083,145,1
Cortex,20,36,static,corvp,0.222,570,1
Cortex,20,36,mobile,armham,0.944,130,1
Cortex,20,36,mobile,cormuskrat,0.639,170,1
Cortex,20,36,mobile,corwolv,0.611,170,1
Cortex,20,36,static,corrl,0.944,80,1
Cortex,20,36,mobile,corlevlr,0.333,220,1
Cortex,20,36,static,coravp,0.028,2600,2
Cortex,20,36,mobile,corgator,0.5,120,1
Cortex,20,36,mobile,armck,0.528,110,1
Cortex,20,36,mobile,corack,0.083,470,2
Cortex,20,36,mobile,armpw,0.694,54,1
Cortex,20,36,mobile,cortermite,0.056,540,2
Cortex,20,36,mobile,corcrash,0.139,125,1
Cortex,20,36,mobile,cormist,0.111,155,1
Cortex,20,36,mobile,coracv,0.028,580,2
Cortex,20,36,mobile,armwar,0.056,270,1
Cortex,20,36,mobile,corgarp,0.056,220,1
Cortex,20,36,static,corexp,0.028,240,1
Cortex,20,36,static,armllt,0.056,85,1
Cortex,20,36,mobile,corfav,0.083,26,1
Cortex,25,29,mobile,corcom,1.0,2700,1
Cortex,25,29,static,coralab,0.552,2600,2
Cortex,25,29,static,corllt,14.414,90,1
Cortex,25,29,mobile,corstorm,10.448,110,1
Cortex,25,29,static,corhlt,2.069,480,1
Cortex,25,29,mobile,corthud,6.862,140,1
Cortex,25,29,mobile,corack,1.138,470,2
Cortex,25,29,static,corpun,0.379,1300,1
Cortex,25,29,static,corhllt,2.379,195,1
Cortex,25,29,mobile,corck,3.207,120,1
Cortex,25,29,static,corlab,0.793,470,1
Cortex,25,29,mobile,cornecro,2.862,130,1
Cortex,25,29,static,coravp,0.138,2600,2
Cortex,25,29,static,cortoast,0.138,2500,2
Cortex,25,29,mobile,corban,0.31,1000,2
Cortex,25,29,mobile,coramph,0.759,330,2
Cortex,25,29,mobile,cortermite,0.448,540,2
Cortex,25,29,mobile,corraid,0.793,235,1
Cortex,25,29,mobile,cormort,0.448,400,2
