our_faction,barb_faction,scenario,mix,our_income,margin,sem
Armada,Armada,field25,t1-line,50,-0.064,0.016
Armada,Armada,field25,t1-line,150,-0.064,0.016
Armada,Armada,field25,t1-line,350,-0.064,0.016
Armada,Armada,field25,t1-line,700,-0.064,0.016
Armada,Armada,field25,t1-line,2000,-0.064,0.016
Armada,Armada,field25,t1+zeus,50,-0.003,0.013
Armada,Armada,field25,t1+zeus,150,0.34,0.006
Armada,Armada,field25,t1+zeus,350,0.399,0.003
Armada,Armada,field25,t1+zeus,700,0.399,0.003
Armada,Armada,field25,t1+zeus,2000,0.399,0.003
Armada,Armada,field25,t1+fido,50,0.433,0.012
Armada,Armada,field25,t1+fido,150,0.433,0.012
Armada,Armada,field25,t1+fido,350,0.433,0.012
Armada,Armada,field25,t1+fido,700,0.433,0.012
Armada,Armada,field25,t1+fido,2000,0.433,0.012
Armada,Armada,field25,zeus+fido,50,0.236,0.03
Armada,Armada,field25,zeus+fido,150,0.379,0.023
Armada,Armada,field25,zeus+fido,350,0.489,0.01
Armada,Armada,field25,zeus+fido,700,0.489,0.01
Armada,Armada,field25,zeus+fido,2000,0.489,0.01
Armada,Armada,field25,t1+zeus+fido,50,0.424,0.006
Armada,Armada,field25,t1+zeus+fido,150,0.438,0.009
Armada,Armada,field25,t1+zeus+fido,350,0.438,0.009
Armada,Armada,field25,t1+zeus+fido,700,0.438,0.009
Armada,Armada,field25,t1+zeus+fido,2000,0.438,0.009
Armada,Armada,base12-out,t1-line,50,-0.252,0.004
Armada,Armada,base12-out,t1-line,150,-0.252,0.004
Armada,Armada,base12-out,t1-line,350,-0.252,0.004
Armada,Armada,base12-out,t1-line,700,-0.252,0.004
Armada,Armada,base12-out,t1-line,2000,-0.252,0.004
Armada,Armada,base12-out,t1+zeus,50,-0.24,0.004
Armada,Armada,base12-out,t1+zeus,150,-0.223,0.002
Armada,Armada,base12-out,t1+zeus,350,-0.194,0.001
Armada,Armada,base12-out,t1+zeus,700,-0.194,0.001
Armada,Armada,base12-out,t1+zeus,2000,-0.194,0.001
Armada,Armada,base12-out,t1+fido,50,-0.187,0.004
Armada,Armada,base12-out,t1+fido,150,-0.187,0.004
Armada,Armada,base12-out,t1+fido,350,-0.187,0.004
Armada,Armada,base12-out,t1+fido,700,-0.187,0.004
Armada,Armada,base12-out,t1+fido,2000,-0.187,0.004
Armada,Armada,base12-out,zeus+fido,50,-0.208,0.004
Armada,Armada,base12-out,zeus+fido,150,-0.185,0.004
Armada,Armada,base12-out,zeus+fido,350,-0.169,0.003
Armada,Armada,base12-out,zeus+fido,700,-0.169,0.003
Armada,Armada,base12-out,zeus+fido,2000,-0.169,0.003
Armada,Armada,base12-out,t1+zeus+fido,50,-0.208,0.002
Armada,Armada,base12-out,t1+zeus+fido,150,-0.202,0.003
Armada,Armada,base12-out,t1+zeus+fido,350,-0.202,0.003
Armada,Armada,base12-out,t1+zeus+fido,700,-0.202,0.003
Armada,Armada,base12-out,t1+zeus+fido,2000,-0.202,0.003
Armada,Cortex,field25,t1-line,50,0.148,0.01
Armada,Cortex,field25,t1-line,150,0.148,0.01
Armada,Cortex,field25,t1-line,350,0.148,0.01
Armada,Cortex,field25,t1-line,700,0.148,0.01
Armada,Cortex,field25,t1-line,2000,0.148,0.01
Armada,Cortex,field25,t1+zeus,50,0.002,0.005
Armada,Cortex,field25,t1+zeus,150,0.133,0.004
Armada,Cortex,field25,t1+zeus,350,0.282,0.009
Armada,Cortex,field25,t1+zeus,700,0.282,0.009
Armada,Cortex,field25,t1+zeus,2000,0.282,0.009
Armada,Cortex,field25,t1+fido,50,0.571,0.009
Armada,Cortex,field25,t1+fido,150,0.571,0.009
Armada,Cortex,field25,t1+fido,350,0.571,0.009
Armada,Cortex,field25,t1+fido,700,0.571,0.009
Armada,Cortex,field25,t1+fido,2000,0.571,0.009
Armada,Cortex,field25,zeus+fido,50,0.282,0.028
Armada,Cortex,field25,zeus+fido,150,0.376,0.011
Armada,Cortex,field25,zeus+fido,350,0.469,0.019
Armada,Cortex,field25,zeus+fido,700,0.469,0.019
Armada,Cortex,field25,zeus+fido,2000,0.469,0.019
Armada,Cortex,field25,t1+zeus+fido,50,0.468,0.009
Armada,Cortex,field25,t1+zeus+fido,150,0.476,0.007
Armada,Cortex,field25,t1+zeus+fido,350,0.476,0.007
Armada,Cortex,field25,t1+zeus+fido,700,0.476,0.007
Armada,Cortex,field25,t1+zeus+fido,2000,0.476,0.007
Armada,Cortex,base12-out,t1-line,50,-0.234,0.003
Armada,Cortex,base12-out,t1-line,150,-0.234,0.003
Armada,Cortex,base12-out,t1-line,350,-0.234,0.003
Armada,Cortex,base12-out,t1-line,700,-0.234,0.003
Armada,Cortex,base12-out,t1-line,2000,-0.234,0.003
Armada,Cortex,base12-out,t1+zeus,50,-0.271,0.001
Armada,Cortex,base12-out,t1+zeus,150,-0.225,0.001
Armada,Cortex,base12-out,t1+zeus,350,-0.235,0.001
Armada,Cortex,base12-out,t1+zeus,700,-0.235,0.001
Armada,Cortex,base12-out,t1+zeus,2000,-0.235,0.001
Armada,Cortex,base12-out,t1+fido,50,-0.179,0.004
Armada,Cortex,base12-out,t1+fido,150,-0.179,0.004
Armada,Cortex,base12-out,t1+fido,350,-0.179,0.004
Armada,Cortex,base12-out,t1+fido,700,-0.179,0.004
Armada,Cortex,base12-out,t1+fido,2000,-0.179,0.004
Armada,Cortex,base12-out,zeus+fido,50,-0.223,0.002
Armada,Cortex,base12-out,zeus+fido,150,-0.198,0.004
Armada,Cortex,base12-out,zeus+fido,350,-0.192,0.005
Armada,Cortex,base12-out,zeus+fido,700,-0.192,0.005
Armada,Cortex,base12-out,zeus+fido,2000,-0.192,0.005
Armada,Cortex,base12-out,t1+zeus+fido,50,-0.193,0.004
Armada,Cortex,base12-out,t1+zeus+fido,150,-0.195,0.003
