our_faction,barb_faction,budget,spacing,scenario,mix,margin,sd,sem,wins_of
Armada,Armada,3000,56,field20,t1-line,0.114,0.053,0.011,24/24
Armada,Armada,3000,56,field20,t1-mace,0.079,0.037,0.008,23/24
Armada,Armada,3000,56,field20,zeus,0.066,0.016,0.003,24/24
Armada,Armada,3000,56,field20,mav,-0.566,0.029,0.006,0/24
Armada,Armada,3000,56,field20,fido,0.206,0.031,0.006,24/24
Armada,Armada,3000,56,field20,sptk,-0.166,0.228,0.047,5/24
Armada,Armada,3000,56,field20,snipe,-0.99,0.0,0.0,0/24
Armada,Armada,3000,56,field20,fboy,0.365,0.21,0.043,24/24
Armada,Armada,3000,56,field20,fast,-0.407,0.046,0.009,0/24
Armada,Armada,3000,56,field20,amph,-0.45,0.035,0.007,0/24
Armada,Armada,3000,56,field20,t1+zeus,0.293,0.056,0.011,24/24
Armada,Armada,3000,56,field20,t1+mav,-0.062,0.12,0.025,3/24
Armada,Armada,3000,56,field20,t1+fido,0.38,0.172,0.035,24/24
Armada,Armada,3000,56,field20,t1+sptk,0.171,0.278,0.057,17/24
Armada,Armada,3000,56,field20,t1+snipe,-0.269,0.119,0.024,0/24
Armada,Armada,3000,56,field20,t1+fboy,0.388,0.243,0.05,22/24
Armada,Armada,3000,56,field20,zeus+fido,0.494,0.038,0.008,24/24
Armada,Armada,3000,56,field20,zeus+sptk,0.49,0.153,0.031,23/24
Armada,Armada,3000,56,field20,zeus+snipe,-0.266,0.033,0.007,0/24
Armada,Armada,3000,56,field20,mace+zeus,0.398,0.039,0.008,24/24
Armada,Armada,3000,56,field20,t1+zeus+fido,0.352,0.08,0.016,24/24
Armada,Armada,3000,56,field20,t1+zeus(25),0.051,0.149,0.03,13/24
Armada,Armada,3000,56,field20,t1+zeus(75),0.21,0.025,0.005,24/24
Armada,Armada,3000,160,field20,t1-line,0.382,0.044,0.009,24/24
Armada,Armada,3000,160,field20,t1-mace,0.322,0.091,0.019,24/24
Armada,Armada,3000,160,field20,zeus,0.58,0.015,0.003,24/24
Armada,Armada,3000,160,field20,mav,-0.165,0.104,0.021,4/24
Armada,Armada,3000,160,field20,fido,-0.161,0.163,0.033,3/24
Armada,Armada,3000,160,field20,sptk,-0.061,0.178,0.036,8/24
Armada,Armada,3000,160,field20,snipe,-0.96,0.0,0.0,0/24
Armada,Armada,3000,160,field20,fboy,0.536,0.017,0.004,24/24
Armada,Armada,3000,160,field20,fast,-0.122,0.161,0.033,8/24
Armada,Armada,3000,160,field20,amph,0.081,0.037,0.007,23/24
Armada,Armada,3000,160,field20,t1+zeus,0.647,0.016,0.003,24/24
Armada,Armada,3000,160,field20,t1+mav,-0.18,0.052,0.011,0/24
Armada,Armada,3000,160,field20,t1+fido,0.544,0.044,0.009,24/24
Armada,Armada,3000,160,field20,t1+sptk,0.608,0.039,0.008,24/24
Armada,Armada,3000,160,field20,t1+snipe,-0.234,0.068,0.014,0/24
Armada,Armada,3000,160,field20,t1+fboy,0.456,0.14,0.029,23/24
Armada,Armada,3000,160,field20,zeus+fido,0.608,0.034,0.007,24/24
Armada,Armada,3000,160,field20,zeus+sptk,0.622,0.042,0.009,24/24
Armada,Armada,3000,160,field20,zeus+snipe,0.592,0.013,0.003,24/24
Armada,Armada,3000,160,field20,mace+zeus,0.639,0.022,0.005,24/24
Armada,Armada,3000,160,field20,t1+zeus+fido,0.514,0.008,0.002,24/24
Armada,Armada,3000,160,field20,t1+zeus(25),0.553,0.022,0.004,24/24
Armada,Armada,3000,160,field20,t1+zeus(75),0.621,0.02,0.004,24/24
Armada,Armada,3000,56,field25,t1-line,0.178,0.073,0.015,24/24
Armada,Armada,3000,56,field25,t1-mace,-0.068,0.107,0.022,9/24
Armada,Armada,3000,56,field25,zeus,0.05,0.018,0.004,24/24
Armada,Armada,3000,56,field25,mav,-0.355,0.032,0.007,0/24
Armada,Armada,3000,56,field25,fido,-0.066,0.115,0.024,7/24
Armada,Armada,3000,56,field25,sptk,-0.17,0.139,0.028,2/24
Armada,Armada,3000,56,field25,snipe,-0.99,0.0,0.0,0/24
Armada,Armada,3000,56,field25,fboy,0.49,0.045,0.009,24/24
Armada,Armada,3000,56,field25,fast,-0.506,0.033,0.007,0/24
Armada,Armada,3000,56,field25,amph,-0.445,0.034,0.007,0/24
Armada,Armada,3000,56,field25,t1+zeus,0.399,0.036,0.007,24/24
Armada,Armada,3000,56,field25,t1+mav,-0.241,0.083,0.017,0/24
Armada,Armada,3000,56,field25,t1+fido,0.334,0.197,0.04,23/24
Armada,Armada,3000,56,field25,t1+sptk,-0.036,0.23,0.047,10/24
Armada,Armada,3000,56,field25,t1+snipe,-0.267,0.084,0.017,0/24
Armada,Armada,3000,56,field25,t1+fboy,0.19,0.148,0.03,24/24
Armada,Armada,3000,56,field25,zeus+fido,0.57,0.081,0.017,24/24
Armada,Armada,3000,56,field25,zeus+sptk,0.362,0.146,0.03,24/24
Armada,Armada,3000,56,field25,zeus+snipe,-0.24,0.05,0.01,0/24
Armada,Armada,3000,56,field25,mace+zeus,0.423,0.075,0.015,24/24
Armada,Armada,3000,56,field25,t1+zeus+fido,0.374,0.061,0.012,24/24
Armada,Armada,3000,56,field25,t1+zeus(25),0.279,0.058,0.012,24/24
Armada,Armada,3000,56,field25,t1+zeus(75),0.237,0.013,0.003,24/24
Armada,Armada,3000,160,field25,t1-line,0.162,0.069,0.014,24/24
Armada,Armada,3000,160,field25,t1-mace,-0.128,0.096,0.02,3/24
Armada,Armada,3000,160,field25,zeus,0.634,0.022,0.004,24/24
Armada,Armada,3000,160,field25,mav,-0.34,0.05,0.01,0/24
Armada,Armada,3000,160,field25,fido,-0.337,0.092,0.019,0/24
Armada,Armada,3000,160,field25,sptk,-0.136,0.098,0.02,2/24
Armada,Armada,3000,160,field25,snipe,-0.88,0.0,0.0,0/24
Armada,Armada,3000,160,field25,fboy,0.582,0.037,0.008,24/24
Armada,Armada,3000,160,field25,fast,-0.299,0.115,0.023,1/24
Armada,Armada,3000,160,field25,amph,0.21,0.079,0.016,24/24
Armada,Armada,3000,160,field25,t1+zeus,0.546,0.007,0.001,24/24
Armada,Armada,3000,160,field25,t1+mav,-0.291,0.055,0.011,0/24
Armada,Armada,3000,160,field25,t1+fido,0.322,0.104,0.021,24/24
Armada,Armada,3000,160,field25,t1+sptk,0.374,0.112,0.023,24/24
Armada,Armada,3000,160,field25,t1+snipe,-0.203,0.1,0.02,0/24
Armada,Armada,3000,160,field25,t1+fboy,0.354,0.114,0.023,24/24
Armada,Armada,3000,160,field25,zeus+fido,0.555,0.015,0.003,24/24
Armada,Armada,3000,160,field25,zeus+sptk,0.502,0.054,0.011,24/24
Armada,Armada,3000,160,field25,zeus+snipe,0.646,0.018,0.004,24/24
Armada,Armada,3000,160,field25,mace+zeus,0.572,0.039,0.008,24/24
Armada,Armada,3000,160,field25,t1+zeus+fido,0.565,0.037,0.007,24/24
Armada,Armada,3000,160,field25,t1+zeus(25),0.403,0.048,0.01,24/24
Armada,Armada,3000,160,field25,t1+zeus(75),0.557,0.021,0.004,24/24
