side,faction,budget,key,metal,tower_metal,force
ours,Armada,3000,t1-line,3060,0,"armwar:2,armham:12,armrock:8"
barb,Armada,3000,field20,3033,0,"armflea:1,armpw:6,corak:1,armwar:3,armstump:1,armham:5,armjanus:1,armrock:6"
ours,Armada,3000,t1-mace,2990,0,armham:23
ours,Armada,3000,zeus,2800,0,armzeus:8
ours,Armada,3000,mav,2600,0,armmav:4
ours,Armada,3000,fido,2850,0,armfido:10
ours,Armada,3000,sptk,2800,0,armsptk:7
ours,Armada,3000,snipe,2720,0,armsnipe:4
ours,Armada,3000,fboy,2800,0,armfboy:2
ours,Armada,3000,fast,3040,0,armfast:19
ours,Armada,3000,amph,2860,0,armamph:11
ours,Armada,3000,t1+zeus,3050,0,"armzeus:4,armwar:1,armham:6,armrock:5"
ours,Armada,3000,t1+mav,2950,0,"armwar:1,armmav:2,armham:6,armrock:5"
ours,Armada,3000,t1+fido,2955,0,"armwar:1,armham:6,armrock:4,armfido:5"
ours,Armada,3000,t1+sptk,3000,0,"armwar:1,armham:5,armrock:4,armsptk:4"
ours,Armada,3000,t1+snipe,3010,0,"armwar:1,armham:6,armrock:5,armsnipe:2"
ours,Armada,3000,t1+fboy,3050,0,"armwar:1,armham:6,armrock:5,armfboy:1"
ours,Armada,3000,zeus+fido,2825,0,"armzeus:4,armfido:5"
ours,Armada,3000,zeus+sptk,3000,0,"armzeus:4,armsptk:4"
ours,Armada,3000,zeus+snipe,2780,0,"armzeus:6,armsnipe:1"
ours,Armada,3000,mace+zeus,2960,0,"armzeus:4,armham:12"
ours,Armada,3000,t1+zeus+fido,3055,0,"armzeus:3,armwar:1,armham:4,armrock:3,armfido:3"
ours,Armada,3000,t1+zeus(25),3000,0,"armzeus:2,armwar:2,armham:8,armrock:6"
ours,Armada,3000,t1+zeus(75),3000,0,"armzeus:6,armwar:1,armham:3,armrock:2"
barb,Armada,3000,field25,2995,0,"armflea:1,armflash:1,armpw:9,corak:1,armwar:1,armham:6,corthud:2,armrock:6,armfido:1"
barb,Armada,3000,t1only,3033,0,"armflea:1,armpw:6,corak:1,armwar:3,armstump:1,armham:5,armjanus:1,armrock:6"
barb,Armada,3000,base6-hold,4765,1770,"armflea:1,armflash:1,armpw:9,corak:1,armwar:1,armham:6,corthud:2,armllt:6,armrock:6,armbeamer:2,armhlt:2,armfido:1"
barb,Armada,3000,base6-out,4765,1770,"armflea:1,armflash:1,armpw:9,corak:1,armwar:1,armham:6,corthud:2,armllt:6,armrock:6,armbeamer:2,armhlt:2,armfido:1"
barb,Armada,3000,base12-hold,5275,2280,"armflea:1,armflash:1,armpw:9,corak:1,armwar:1,armham:6,corthud:2,armllt:12,armrock:6,armbeamer:2,armhlt:2,armfido:1"
barb,Armada,3000,base12-out,5275,2280,"armflea:1,armflash:1,armpw:9,corak:1,armwar:1,armham:6,corthud:2,armllt:12,armrock:6,armbeamer:2,armhlt:2,armfido:1"
ours,Armada,6000,t1-line,5880,0,"armwar:5,armham:21,armrock:15"
barb,Armada,6000,field20,5913,0,"armflea:2,armflash:1,armpw:12,corak:1,armwar:6,armstump:2,armham:10,armjanus:1,corthud:1,armrock:11"
ours,Armada,6000,t1-mace,5980,0,armham:46
ours,Armada,6000,zeus,5950,0,armzeus:17
ours,Armada,6000,mav,5850,0,armmav:9
ours,Armada,6000,fido,5985,0,armfido:21
ours,Armada,6000,sptk,6000,0,armsptk:15
ours,Armada,6000,snipe,6120,0,armsnipe:9
ours,Armada,6000,fboy,5600,0,armfboy:4
ours,Armada,6000,fast,5920,0,armfast:37
ours,Armada,6000,amph,5980,0,armamph:23
ours,Armada,6000,t1+zeus,5960,0,"armzeus:9,armwar:2,armham:11,armrock:7"
ours,Armada,6000,t1+mav,5930,0,"armwar:3,armmav:4,armham:12,armrock:8"
ours,Armada,6000,t1+fido,5945,0,"armwar:2,armham:11,armrock:7,armfido:11"
ours,Armada,6000,t1+sptk,6000,0,"armwar:3,armham:11,armrock:8,armsptk:7"
ours,Armada,6000,t1+snipe,5920,0,"armwar:3,armham:11,armrock:8,armsnipe:4"
ours,Armada,6000,t1+fboy,6000,0,"armwar:3,armham:11,armrock:8,armfboy:2"
ours,Armada,6000,zeus+fido,5935,0,"armzeus:8,armfido:11"
ours,Armada,6000,zeus+sptk,5950,0,"armzeus:9,armsptk:7"
ours,Armada,6000,zeus+snipe,5890,0,"armzeus:11,armsnipe:3"
ours,Armada,6000,mace+zeus,5920,0,"armzeus:8,armham:24"
ours,Armada,6000,t1+zeus+fido,5925,0,"armzeus:5,armwar:2,armham:8,armrock:5,armfido:7"
ours,Armada,6000,t1+zeus(25),5880,0,"armzeus:4,armwar:4,armham:16,armrock:11"
ours,Armada,6000,t1+zeus(75),5950,0,"armzeus:13,armwar:1,armham:5,armrock:4"
barb,Armada,6000,field25,5928,0,"armflea:2,armflash:2,armpw:15,corak:2,armwar:2,armstump:1,armham:10,corthud:3,armrock:11,corstorm:1,armfido:3"
barb,Armada,6000,t1only,5913,0,"armflea:2,armflash:1,armpw:12,corak:1,armwar:6,armstump:2,armham:10,armjanus:1,corthud:1,armrock:11"
